主题,关键词,飙升指数,关键词id,时间热度键值对
分手,分手就分手,49,kyf-eZIBmV5X-ep3lZuR,"[('20241009', 2645), ('20241010', 4377)]"
分手,想分手,10461,Wi7-eZIBxl_WZLR2nBsn,"[('20240929', 3827.5474358974357), ('20240930', 9303.605311355312), ('20241009', 7730.000021958719), ('20241010', 6266.529487179487)]"
分手,分手吗,5106,kif-eZIBmV5X-ep3lZuR,"[('20241010', 6950.898193760263)]"
分手,没分手,5,Fb_-eZIB-imYiYzln_06,"[('20241003', 6409.714285714285), ('20241004', 4094.625), ('20241005', 4894.444444444444), ('20241009', 1625.6153846153845), ('20241010', 905.9285714285714)]"
分手,分手2024,45646,Wif-eZIBmV5X-ep3lZI4,"[('20240905', 171528.72513475092), ('20240906', 170621.09062448982), ('20240907', 135574.54933077758), ('20240908', 117406.26031036807), ('20240909', 120670.04764496342), ('20240910', 100595.19055047118), ('20240929', 7894.403965746753), ('20240930', 6312.501175973215), ('20241001', 4149.508754059718), ('20241002', 5923.227657675285), ('20241003', 4287.505996961063), ('20241004', 4239.276975447728), ('20241005', 6756.621660678765), ('20241006', 6803.658246216634), ('20241007', 6899.830360142574), ('20241008', 7344.462004979787), ('20241009', 5493.712258802546), ('20241010', 4931.112742011969)]"
分手,被分手,360,uCf-eZIBmV5X-ep3oqmR,"[('20241004', 39781), ('20241005', 28080.5), ('20241006', 7437), ('20241007', 2164.5), ('20241008', 687.6), ('20241010', 658.5714285714286)]"
分手,分手后,974841,TCf-eZIBmV5X-ep3lZd5,"[('20240905', 15000.769875172986), ('20240906', 16697.92537220519), ('20240907', 16016.673500678788), ('20240908', 7233.112174698674), ('20240909', 6300.570689865689), ('20240910', 6284.923935421303), ('20240911', 4458.941556319498), ('20240912', 5687.184243313046), ('20240917', 9402.361441127074), ('20240918', 4213.344821870713), ('20240919', 10045.358871174627), ('20240923', 30669.171772699905), ('20240924', 4999.016621716627), ('20240925', 5384.126971513792), ('20240926', 4921.020195141302), ('20240928', 10674.180836422041), ('20240930', 20684.582383322133), ('20241001', 5300.050561689246), ('20241002', 7097.427678489995), ('20241004', 8050.163944199142), ('20241006', 9078.876909750657), ('20241007', 5628.121698225147), ('20241008', 7153.5649644476), ('20241009', 6451.391604250397), ('20241010', 5832.345689743618)]"
分手,分手吧,184263,cif-eZIBmV5X-ep3lZyS,"[('20240928', 1600.2916666666667), ('20241001', 2974.8776878092667), ('20241008', 1989.6666666666665), ('20241009', 2434.1309523809523), ('20241010', 3636.6011904761904)]"
分手,分手时,105075,_MP-eZIBLPKOME8slgEA,"[('20241006', 2022.7666666666667), ('20241007', 1659.090909090909), ('20241008', 2934.166666666667), ('20241009', 3599.978205128205), ('20241010', 2807.9928571428572)]"
分手,分手了,1014408,oSf-eZIBmV5X-ep3lp9F,"[('20240914', 37605.34694916909), ('20240916', 30490.280720511997), ('20240918', 38655.71239438251), ('20240923', 24802.74070607358), ('20240929', 106243.90932538798), ('20240930', 21559.912985961786), ('20241010', 100774.37369740396)]"
