主题,关键词,飙升指数,关键词id,时间热度键值对
恋爱,爱恋,163686,c5j-eZIB-JDbKjAEoNQI,"[('20240906', 873.0098090315481), ('20240908', 799.3907610907611), ('20240909', 792.3077915376678), ('20240910', 1252.6680978138381), ('20240911', 1346.815538847118), ('20240912', 1957.3611357940304), ('20240913', 1500.2038011695904), ('20240914', 955.5765484515484), ('20240924', 752.0060919295254), ('20240927', 945.7359307359307), ('20241002', 5307.7782509157505), ('20241003', 1313.5065912954149), ('20241008', 765.394733044733), ('20241009', 1071.2545429208471), ('20241010', 3685.0079365079364)]"
恋爱,恋爱了,2047918,qYP-eZIBUXSdlPDbnNMp,"[('20240906', 7345.5948461890675), ('20240911', 7439.64157589856), ('20240912', 9435.361984068564), ('20240913', 7658.126916269817), ('20240915', 8097.034681911656), ('20240917', 8977.668509712683), ('20240922', 8109.647075338591), ('20240923', 9520.898915737198), ('20240925', 8607.78019304154), ('20240926', 7916.476231692957), ('20240927', 7179.898017389424), ('20240928', 6437.168159004569), ('20240929', 7203.616375236963), ('20241004', 7312.177144388793), ('20241005', 44601.00328676249), ('20241006', 35964.310824175824), ('20241007', 19043.386220324635), ('20241008', 24833.794787713803), ('20241009', 11263.057072703126), ('20241010', 12309.315463306131)]"
恋爱,恋爱记,0,qoP-eZIBUXSdlPDbm89M,"[('20241006', 3473), ('20241007', 1746.6), ('20241008', 2243.5), ('20241009', 1584.4285714285713), ('20241010', 862.75)]"
恋爱,恋爱脑,32967788,Ii7-eZIBxl_WZLR2nBwn,"[('20240905', 1131005.6682775256), ('20240906', 1367575.3263265037), ('20240907', 1086552.4778019255), ('20240908', 1064088.446907763), ('20240909', 1289842.7983196483), ('20240910', 1010906.4131359672), ('20240911', 1047497.0814818493), ('20240912', 1076320.8728950664), ('20240913', 1280111.6688287074), ('20240914', 1093418.110763733), ('20240915', 1043627.0686433299), ('20240916', 1040858.4423136612), ('20240917', 1077893.7034238926), ('20240918', 1155280.2915810659), ('20240919', 1256574.0432446217), ('20240920', 1156595.8675221144), ('20240921', 1389132.7883736712), ('20240922', 964730.7365931231), ('20240923', 1112017.4893410143), ('20240924', 1116146.0437623912), ('20240925', 1179130.541771496), ('20240926', 1253896.9512177336), ('20240927', 1084976.9492245344), ('20240928', 1324771.2794820212), ('20240929', 1191278.69715113), ('20240930', 884365.6388024827), ('20241001', 950062.300099248), ('20241002', 1395071.6162113673), ('20241003', 1221373.6302016547), ('20241004', 1704831.6876229018), ('20241005', 2007611.9538826551), ('20241006', 1468493.1891219928), ('20241007', 1230181.8193093848), ('20241008', 1074993.3725960748), ('20241009', 1354523.3337258354), ('20241010', 1167020.1182098105)]"
恋爱,恋爱vlog,899469,9NL-eZIBt-JPqn_2nUNh,"[('20240905', 7839.531803778447), ('20240907', 18250.147760887412), ('20240910', 6679.517454721011), ('20240911', 9644.041181328475), ('20240912', 8477.028947315623), ('20240913', 24323.594561030768), ('20240914', 19044.870942813104), ('20240915', 45085.63445271976), ('20240916', 19638.59530896441), ('20240917', 12861.09907227156), ('20240918', 18171.12334108802), ('20240919', 38112.13204266686), ('20240920', 13046.96666881024), ('20240921', 30332.486943593532), ('20240922', 24635.117378196697), ('20240923', 7708.03915357974), ('20240924', 6662.164357460671), ('20240927', 8658.14813931436), ('20240928', 7557.787125260486), ('20240930', 23326.504620303283), ('20241001', 9625.322189029532), ('20241002', 16967.187628372383), ('20241003', 10697.715944760655), ('20241004', 7231.148521116325), ('20241005', 33588.37586414231), ('20241010', 8027.8127031535005)]"
恋爱,恋爱吧,271,QC7-eZIBxl_WZLR2mxeK,"[('20241010', 6041)]"
恋爱,恋爱吗,12368,qoP-eZIBUXSdlPDbnNMp,"[('20240907', 5919.472222222223), ('20241010', 9810.857142857143)]"
恋爱,恋爱中,28833,hYP-eZIBUXSdlPDbmsvk,"[('20240905', 3592.235111909025), ('20240910', 9383.288179441748), ('20240911', 9750.987830650898), ('20240913', 6539.994431089483), ('20240914', 6670.864980349763), ('20240918', 4880.835723925198), ('20240927', 5170.736795304874), ('20240929', 7604.856475468975), ('20241002', 8257.382480005417), ('20241003', 4317.086890484994), ('20241009', 8972.627392134009), ('20241010', 7638.253992825201)]"
恋爱,恋爱观,8763,q9L-eZIBt-JPqn_2nUNh,"[('20240924', 2556), ('20241010', 7819.323529411765)]"
恋爱,想恋爱,12289,7y7-eZIBxl_WZLR2mxJM,"[('20240915', 9143.694796380089), ('20240923', 7932.766071428571), ('20240925', 9573.67539577281), ('20241010', 8740.198333333332)]"
