主题,关键词,飙升指数,关键词id,时间热度键值对
情侣,情侣,1283,eoP-eZIBUXSdlPDbnNQp,"[('20240905', 1476385.1269378907), ('20240906', 1636700.4562781085), ('20240907', 1741447.0084016034), ('20240908', 1700088.9663674887), ('20240909', 1812026.375110636), ('20240910', 1914074.833020903), ('20240911', 1783694.478356201), ('20240912', 1881470.2960857977), ('20240913', 1740708.3599345395), ('20240914', 1551944.8033630985), ('20240915', 1593763.2525132827), ('20240916', 1799670.3681658471), ('20240917', 2196420.0452630077), ('20240918', 2176837.197726433), ('20240919', 1746293.2904395612), ('20240920', 1591148.296122391), ('20240921', 1416427.5644098169), ('20240922', 1447041.5834885405), ('20240923', 1325047.407666552), ('20240924', 1525904.2544276542), ('20240925', 1609832.968006413), ('20240926', 1336512.5233001674), ('20240927', 1432677.100559473), ('20240928', 1326370.9507543505), ('20240929', 1264742.9636928302), ('20240930', 1001913.0193069559), ('20241001', 1046006.1903097575), ('20241002', 1440406.0307294165), ('20241003', 2823331.7183769164), ('20241004', 1473977.3530000676), ('20241005', 1266460.6971352864), ('20241006', 1314509.6396309782), ('20241007', 1693103.093990941), ('20241008', 1322667.08720378), ('20241009', 1294280.6704957236), ('20241010', 1283520.7195199924)]"
情侣,情侣款,1687251,fIP-eZIBUXSdlPDbmsiq,"[('20240906', 9688.594549301648), ('20240907', 8948.443129412108), ('20240908', 7799.562452589649), ('20240909', 6995.2234292819285), ('20240913', 18990.841994587958), ('20240915', 16737.294133254047), ('20240917', 14651.513815766955), ('20240918', 12408.02392900902), ('20240921', 13567.26527114285), ('20240922', 11001.084659910952), ('20240923', 12961.763801131072), ('20240924', 14889.82096846055), ('20240925', 13564.513004698281), ('20240926', 18418.917706745735), ('20240927', 11241.50089375989), ('20240928', 13624.280074226237), ('20240929', 15900.514445332064), ('20240930', 17366.269410988658), ('20241001', 18127.578375674966), ('20241002', 15288.66825671455), ('20241003', 16157.380159578208), ('20241004', 16364.219177395295), ('20241005', 14306.04456714382), ('20241006', 16893.59284796978), ('20241007', 15890.18351358346), ('20241008', 14965.388592615986), ('20241009', 14479.46761168446), ('20241010', 15933.242049660526)]"
情侣,情侣solo,351100,ftL-eZIBt-JPqn_2nUVh,"[('20240905', 4233.910693843193), ('20240906', 8503.873813824184), ('20240908', 9947.238470075488), ('20240909', 3120.7058741745577), ('20240910', 8598.577989491521), ('20240911', 7212.541121981189), ('20240912', 6730.216434305913), ('20240913', 4069.2449243116585), ('20240914', 7050.632009795589), ('20240915', 7947.562719670251), ('20240916', 16606.764577215286), ('20240917', 6567.624140920921), ('20240919', 4198.172018557601), ('20240920', 7521.989037953016), ('20240923', 9532.719122731542), ('20240924', 19864.209630391106), ('20240925', 9610.252217675881), ('20240926', 18627.66915917586), ('20240927', 6468.924748501629), ('20240928', 4764.904276971999), ('20240930', 7219.378615625857), ('20241004', 6274.26422922352), ('20241005', 6770.58521803667), ('20241006', 7423.43976279683), ('20241009', 6195.346185459134), ('20241010', 6395.433533855567)]"
情侣,情侣vlog,1332324,8oP-eZIBUXSdlPDbm89M,"[('20240905', 19779.554107145384), ('20240906', 12267.201228776856), ('20240907', 9513.822205401675), ('20240908', 6222.855935629272), ('20240909', 5156.564068342623), ('20240910', 4903.845836940067), ('20240911', 4551.885509574232), ('20240913', 5892.822751878687), ('20240914', 4313.7803912830495), ('20240915', 3224.614951708948), ('20240916', 3435.640230045029), ('20240917', 2549.011208972992), ('20240920', 19047.958048129374), ('20240922', 7131.606439937737), ('20240924', 7467.8638922623), ('20240925', 9510.32916468146), ('20240927', 6950.877089050386), ('20240928', 4327.953536589011), ('20240930', 8983.49378569639), ('20241001', 5695.83611811117), ('20241002', 4393.163391774708), ('20241003', 4707.311079496988), ('20241004', 42104.29398864551), ('20241005', 12550.724533994136), ('20241006', 38564.14514611817), ('20241007', 9885.664234509366), ('20241008', 9243.554085505526), ('20241009', 9760.569443286904), ('20241010', 11047.412911974621)]"
情侣,情侣鞋,589282,Ci7-eZIBxl_WZLR2mxeK,"[('20240923', 4998.449710160462), ('20240925', 4469.030635789693), ('20240928', 9914.929485530985), ('20240929', 4788.892610343187), ('20241002', 4305.313083470209), ('20241004', 6688.687415396345), ('20241010', 4445.172021810126)]"
情侣,情侣号,1,S9L-eZIBt-JPqn_2nURh,"[('20241009', 1814), ('20241010', 1167)]"
情侣,情侣名,0,u9L-eZIBt-JPqn_2nUVh,"[('20241010', 2000)]"
情侣,真情侣,3159189,5zz-eZIBeAB8871NpEvm,"[('20240906', 3935.467648105249), ('20240907', 9697.713778653186), ('20240908', 7038.779416202718), ('20240909', 13551.857841066418), ('20240910', 7144.142550838113), ('20240913', 7328.732585140209), ('20240914', 6235.511246726844), ('20240915', 7015.796213110562), ('20240916', 24695.567869185466), ('20240917', 17650.133683791337), ('20240918', 4899.760771684194), ('20240920', 11125.960479414842), ('20240921', 9436.05130769137), ('20240922', 9433.119032438857), ('20240928', 4749.417365689865), ('20240930', 6927.410153280652), ('20241001', 12051.405091328887), ('20241002', 6138.873326671992), ('20241003', 9138.208376188742), ('20241004', 8830.206859670268), ('20241005', 18964.606461998508), ('20241006', 26125.591355359196), ('20241007', 14726.498284629963), ('20241008', 10797.79192096741), ('20241009', 26363.929512872077), ('20241010', 9439.471984545247)]"
情侣,情侣照,892770,xi7-eZIBxl_WZLR2nBsn,"[('20240905', 4022.376912040706), ('20240906', 5084.902906291809), ('20240907', 2892.034275711329), ('20240908', 3982.418808850959), ('20240909', 2107.569275607434), ('20240910', 1951.5606441392533), ('20240911', 2539.1939411895296), ('20240912', 1744.8589831885013), ('20240913', 2430.9830489015253), ('20240914', 6236.519554092852), ('20240915', 4726.561593882552), ('20240916', 6541.229082609314), ('20240917', 3453.8974894966886), ('20240918', 4139.394893825981), ('20240919', 9202.952736963027), ('20240920', 7178.62545060936), ('20240921', 6836.645557983444), ('20240922', 4326.865218512058), ('20240923', 4454.952679017591), ('20240924', 3948.668974573901), ('20240925', 4892.660854664658), ('20240926', 3243.437748240261), ('20240927', 5431.7731158996685), ('20240928', 11232.800105836464), ('20240929', 9622.416700012773), ('20240930', 3650.6433453972927), ('20241001', 12507.7000695775), ('20241002', 83880.03184565622), ('20241003', 5782.357489814384), ('20241004', 29491.838604758563), ('20241005', 14376.138831773427), ('20241006', 9656.360662644318), ('20241007', 9555.46091056633), ('20241008', 7093.2602984471805), ('20241009', 15817.638741900342), ('20241010', 27383.99068903319)]"
情侣,情侣装,2678873,9oP-eZIBUXSdlPDbm89M,"[('20240905', 114628.31496548727), ('20240906', 82570.6226929665), ('20240907', 85324.27930663641), ('20240908', 59462.24466796926), ('20240909', 71872.33488473383), ('20240910', 83117.61267317725), ('20240911', 67113.89014485216), ('20240912', 73533.91124342316), ('20240913', 69823.16074924973), ('20240914', 80486.07596661997), ('20240915', 64786.74221613753), ('20240916', 57439.89898545716), ('20240917', 58452.12828219182), ('20240918', 61920.41710628683), ('20240919', 54173.45968843756), ('20240920', 67475.9021761841), ('20240921', 64032.93542678903), ('20240922', 54729.00828899463), ('20240923', 63840.57354439317), ('20240924', 73723.99073290554), ('20240925', 64356.35843796898), ('20240926', 58486.15293592163), ('20240927', 55906.271389801266), ('20240928', 80894.94388655556), ('20240929', 65334.19373395983), ('20240930', 74132.64344061179), ('20241001', 58168.865012986695), ('20241002', 64291.849013702005), ('20241003', 74924.81041474229), ('20241004', 61290.16136583881), ('20241005', 55180.449358338694), ('20241006', 42291.12106633519), ('20241007', 48632.04472426069), ('20241008', 50280.72446094407), ('20241009', 72562.86098516185), ('20241010', 53204.65733562564)]"
情侣,情侣id,580339,e4P-eZIBUXSdlPDbnNQp,"[('20240905', 4814.4019546864365), ('20240906', 4647.256493868451), ('20240907', 8447.22643958213), ('20240909', 7936.240837227906), ('20240910', 4869.681985606987), ('20240911', 4223.1098039215685), ('20240912', 6298.989659002085), ('20240913', 3404.284702139965), ('20240914', 4081.437529627235), ('20240915', 5043.826293941883), ('20240916', 5939.378985230457), ('20240917', 5467.006462499564), ('20240918', 7572.337895194377), ('20240919', 6011.3874715114525), ('20240920', 9635.830730431533), ('20240921', 7359.788852247969), ('20240922', 8163.2964775562605), ('20240923', 7157.256819272421), ('20240924', 6283.993699677701), ('20240925', 3507.0755173995194), ('20240926', 4483.541307146013), ('20240927', 4912.799438221625), ('20240929', 6211.452316933093), ('20241002', 9798.322010518432), ('20241003', 7832.871093693327), ('20241004', 6332.394910884596), ('20241005', 5080.651506444755), ('20241006', 8192.048296518935), ('20241007', 8223.24738447945), ('20241008', 5170.012696080458), ('20241009', 8377.072642482039), ('20241010', 6333.86445766622)]"
情侣,情侣表情包,486,uS7-eZIBxl_WZLR2mxRM,"[('20241010', 7267)]"
