主题,关键词,飙升指数,关键词id,时间热度键值对
夫妻,夫妻,405,ryL-eZIB3sk1SQNgmBTj,"[('20240905', 387509.1470222703), ('20240906', 408165.7845090302), ('20240907', 348881.6618113717), ('20240908', 377648.7809900763), ('20240909', 448208.994726775), ('20240910', 482008.4397470803), ('20240911', 472254.90339125466), ('20240912', 451432.7722035902), ('20240913', 367867.3854621546), ('20240914', 516385.01293872297), ('20240915', 450572.71853826684), ('20240916', 372895.0469467199), ('20240917', 403313.6093325096), ('20240918', 410925.29022891284), ('20240919', 391382.59422500513), ('20240920', 465211.41967398085), ('20240921', 474089.94821217074), ('20240922', 386475.4841805988), ('20240923', 399909.9264688883), ('20240924', 503849.2378290829), ('20240925', 543439.8445525141), ('20240926', 497505.8178906594), ('20240927', 375010.027383107), ('20240928', 430243.6828131271), ('20240929', 449693.09039525053), ('20240930', 352773.7536696024), ('20241001', 319060.46070443705), ('20241002', 292307.3604952873), ('20241003', 290194.61159095244), ('20241004', 348333.2153546409), ('20241005', 363428.11232393415), ('20241006', 397735.5910240647), ('20241007', 384548.8491538997), ('20241008', 454535.0028892089), ('20241009', 432606.3541742145), ('20241010', 405070.1494538925)]"
夫妻,夫妻情,13447,gqb-eZIB3eaiQywKmVak,"[('20240920', 2969.481684981685), ('20240921', 3771.6578754578754), ('20240923', 3235.7000000000003), ('20240924', 3246.789775910364), ('20240925', 3290.6617647058824), ('20240926', 3057.583333333333), ('20240927', 3252.951754385965), ('20240928', 3196.4166666666665), ('20240929', 2522.7666666666664), ('20241005', 3546.5303030303035), ('20241006', 3203.6331953071085), ('20241007', 4294.750000000001), ('20241008', 3507.8333333333326), ('20241009', 4167.466666666667), ('20241010', 3846.0333333333338)]"
夫妻,夫妻间,136297,rSL-eZIB3sk1SQNgmAuK,"[('20240905', 6455.292801003346), ('20240906', 3873.8455304009713), ('20240908', 4844.923131159021), ('20240909', 4886.371694557711), ('20240911', 4916.638345798894), ('20240912', 5334.668917751047), ('20240913', 5075.570302892618), ('20240915', 5828.272407305458), ('20240916', 6633.705489417989), ('20240919', 6751.086433401964), ('20240920', 6262.706337916469), ('20240921', 4782.21191873628), ('20240922', 5341.069127479699), ('20240923', 8762.420601399517), ('20240924', 7269.296265927242), ('20240925', 3767.902837835095), ('20240926', 6484.343573677783), ('20240928', 5159.459913793104), ('20240929', 3882.7485808619176), ('20241002', 6340.7593625612435), ('20241003', 3993.0303811597696), ('20241004', 4457.089455974596), ('20241005', 3938.3289416581297), ('20241006', 4736.628881359103), ('20241009', 6560.073011312991), ('20241010', 8609.47469670852)]"
夫妻,夫妻相,69564,OyL-eZIB3sk1SQNgmBTj,"[('20241010', 4646.48)]"
夫妻,真夫妻,5922678,ixn-eZIBgdoUXASpoDNd,"[('20240917', 2470.0290765007117), ('20240924', 2191.192939244663), ('20241003', 7557.065079365078), ('20241004', 89815.24727011495), ('20241005', 29436.07540106952), ('20241006', 15033.75), ('20241007', 7234.4660497397335), ('20241008', 6909.245238095239), ('20241009', 6104.6626984127), ('20241010', 3895.8153138528137)]"
夫妻,夫妻篇,12807,PCL-eZIB3sk1SQNgmBTj,"[('20240905', 5152.447226890756), ('20240906', 5733.086589272796), ('20240907', 3672.5589405964406), ('20240908', 4603.230112044818), ('20240909', 8944.980897646416), ('20240910', 3418.6607602339177), ('20240911', 3721.055555555556), ('20240912', 8233.27430608607), ('20240913', 7040.640806922398), ('20240914', 4063.123349979146), ('20240915', 3630.8368763863905), ('20240916', 3258.328793306797), ('20240917', 3482.3031623931624), ('20240918', 3510.3067846383638), ('20240919', 3779.5984360410826), ('20240920', 5151.349337922614), ('20240921', 4366.049503483954), ('20240922', 8139.016821946169), ('20240923', 6405.6097222222215), ('20240924', 5275.8709933204045), ('20240925', 2794.6647586810695), ('20240927', 3873.3133370720648), ('20240928', 3412.6042367267623), ('20240929', 2991.6928249820353), ('20240930', 5148.749742483553), ('20241001', 2811.004658430858), ('20241002', 2961.0980808080812), ('20241003', 3531.8209556248353), ('20241005', 3309.1563899063904), ('20241007', 4668.566745827272), ('20241008', 4251.472611674817), ('20241009', 3435.8822247197245), ('20241010', 2866.5682506508115)]"
夫妻,好夫妻,362,UeT-eZIBgji-xPyNmZPI,"[('20240905', 8039.821797526145), ('20240920', 3927.200091010354), ('20240924', 3693.7737868630757), ('20241010', 5422.556896551724)]"
夫妻,夫妻工,1908,lCL-eZIB3sk1SQNgmBPi,"[('20240920', 512), ('20241010', 221)]"
夫妻,夫妻俩,933453,qyL-eZIB3sk1SQNgmAuK,"[('20240905', 7101.026560160902), ('20240906', 71853.84743001833), ('20240907', 32508.050240338453), ('20240908', 9425.880496493082), ('20240909', 3947.8079550792622), ('20240910', 9551.413785736275), ('20240911', 5771.6632445695095), ('20240912', 5300.252438827249), ('20240913', 9643.306073755639), ('20240914', 3705.610259078508), ('20240915', 3600.3438545322706), ('20240916', 3199.261426817437), ('20240917', 3476.825184832445), ('20240918', 3284.297768813312), ('20240919', 12408.78145207884), ('20240920', 8245.796476278056), ('20240921', 9011.991398682234), ('20240922', 11126.132484413827), ('20240923', 5964.377877856966), ('20240924', 11814.277329297774), ('20240925', 24790.31040171226), ('20240926', 24727.785597347945), ('20240927', 18215.19117042945), ('20240928', 15432.350194875775), ('20240930', 14899.673471387374), ('20241001', 10721.704865708825), ('20241002', 20093.09094894546), ('20241003', 14741.806184315345), ('20241004', 9424.353458874195), ('20241005', 9057.298966934331), ('20241006', 9316.062706151677), ('20241007', 18002.1477795061), ('20241009', 7374.314313652999), ('20241010', 16966.959615486834)]"
夫妻,夫妻双,5077,Fqb-eZIB3eaiQywKmVSj,"[('20241010', 2446.5)]"
夫妻,对夫妻,0,uqb-eZIB3eaiQywKmlcP,"[('20241010', 3925.7063492063494)]"
夫妻,小夫妻,130461,cKb-eZIB3eaiQywKmlgP,"[('20240906', 7753.858797934459), ('20240907', 7328.767807409127), ('20240908', 8067.196196426385), ('20240909', 8096.477648134137), ('20240910', 7785.551289403027), ('20240911', 6094.598890295112), ('20240912', 7002.586448389869), ('20240913', 6513.385135686841), ('20240914', 6280.194135589104), ('20240915', 6108.006573917229), ('20240920', 7860.335296895315), ('20240925', 5828.225268305638), ('20241002', 7085.9433165261835), ('20241004', 5621.673662605868), ('20241010', 6003.325802835527)]"
夫妻,夫妻宫,55070,Aqb-eZIB3eaiQywKmVaj,"[('20240908', 1363.5), ('20240909', 928), ('20240911', 2149.074675324675), ('20240912', 1175.0166666666667), ('20240913', 1876.0714285714287), ('20240914', 1950.677030812325), ('20240916', 1442.42), ('20240921', 1497.381313131313), ('20240923', 1390.6615384615384), ('20240924', 1636.4217615717616), ('20240925', 1217.1714285714286), ('20240927', 1285.296288515406), ('20241006', 1569.4084249084249), ('20241010', 1448.9193362193362)]"
夫妻,夫妻店,313692,Wab-eZIB3eaiQywKmVSj,"[('20240905', 7474.764725485542), ('20240909', 7624.213414069688), ('20240910', 8299.347262843165), ('20240911', 6621.674049201645), ('20240912', 6048.424250162112), ('20240913', 9392.384376261201), ('20240914', 5990.158497783558), ('20240917', 7078.372682612285), ('20240918', 7821.393557647342), ('20240920', 8369.60745116539), ('20240921', 7127.746839410466), ('20240922', 6453.201498273016), ('20240924', 6982.783158281198), ('20240926', 9636.849700221805), ('20240927', 9669.045097782315), ('20240928', 9569.534355355345), ('20240929', 9972.92338244564), ('20240930', 6786.402267604014), ('20241006', 6487.616215005787), ('20241007', 9057.107036729376), ('20241008', 6700.186206375325), ('20241010', 9631.273680232178)]"
