主题,关键词,飙升指数,关键词id,时间热度键值对
婆媳,婆媳,15578326,fIP-eZIBUXSdlPDbmsJk,"[('20240905', 1261129.2834231583), ('20240906', 1211182.5129773354), ('20240907', 1243292.057718528), ('20240908', 1210255.2782508465), ('20240909', 1174193.1945453836), ('20240910', 1116954.6961231849), ('20240911', 1194627.2657344586), ('20240912', 1201497.8327726289), ('20240913', 1132323.1161398073), ('20240914', 1327865.9118367422), ('20240915', 1172501.981755007), ('20240916', 1156072.2366589967), ('20240917', 1130997.3753797044), ('20240918', 1126942.933819247), ('20240919', 1162349.9978298063), ('20240920', 1128086.7916182985), ('20240921', 1147076.906399988), ('20240922', 1038977.9509809358), ('20240923', 1144136.3634304535), ('20240924', 1174174.1217040557), ('20240925', 1196123.1073177648), ('20240926', 1185815.2625128247), ('20240927', 1181934.4787443671), ('20240928', 1194149.008317211), ('20240929', 1090746.1021172288), ('20240930', 1061402.3967792944), ('20241001', 889996.6410916497), ('20241002', 880008.897484458), ('20241003', 875401.1866736442), ('20241004', 956063.2876613388), ('20241005', 941939.0810240043), ('20241006', 1216027.8322042874), ('20241007', 1076540.7569971152), ('20241008', 1071310.9214252208), ('20241009', 1134858.6284696562), ('20241010', 1168990.656632775)]"
婆媳,婆婆和儿媳,3902830,A4P-eZIBUXSdlPDbmsNk,"[('20240905', 59854.24104400987), ('20240906', 53725.564341518046), ('20240907', 52136.64868393561), ('20240908', 67045.24489998694), ('20240909', 42201.41849840427), ('20240910', 38032.5396148196), ('20240911', 37766.580872751045), ('20240912', 41377.61486891746), ('20240913', 37093.54863950512), ('20240914', 50851.27421430483), ('20240915', 62977.20892730909), ('20240916', 67743.46367215976), ('20240917', 59754.39755148653), ('20240918', 56350.96234096313), ('20240919', 59129.98174705949), ('20240920', 52923.24411825362), ('20240921', 50836.80912247038), ('20240922', 61678.0608173887), ('20240923', 54825.1020813679), ('20240924', 44379.79377113439), ('20240925', 69484.80058928017), ('20240926', 84015.62372190139), ('20240927', 88641.8348068688), ('20240928', 83288.18945786254), ('20240929', 92869.54415287286), ('20240930', 96178.03825651448), ('20241001', 87461.24264141615), ('20241002', 91039.33472353437), ('20241003', 85670.25130232886), ('20241004', 86624.74100366318), ('20241005', 92660.23000244042), ('20241006', 118561.9774506468), ('20241007', 98314.46927918903), ('20241008', 94458.42883454326), ('20241009', 97454.3657794145), ('20241010', 79438.14278184655)]"
婆媳,农村婆媳,133064,OCf-eZIBmV5X-ep3lZA3,"[('20240905', 8077.722439607606), ('20240906', 5704.755876930953), ('20240908', 5879.394735295664), ('20240910', 4643.567441828388), ('20240911', 6158.382596095891), ('20240912', 5285.668434134997), ('20240913', 4708.985187477354), ('20240914', 9666.443029819258), ('20240915', 6439.740454093632), ('20240916', 8902.091340902422), ('20240917', 4630.09099761484), ('20240920', 8288.208881264753), ('20240921', 7574.213404261063), ('20240922', 9077.506082733014), ('20240923', 5455.485996651267), ('20240924', 4221.4992710149145), ('20240925', 4409.860150318967), ('20240927', 4900.136497363945), ('20240928', 5053.780218612257), ('20241007', 4009.334561667353), ('20241008', 3950.1728360690977), ('20241009', 7201.760386414247), ('20241010', 3949.1964230011267)]"
婆媳,婆媳矛盾,179259,3OT-eZIBgji-xPyNmZTI,"[('20240905', 6832.037765889081), ('20240906', 4235.046878933984), ('20240907', 7138.701784408402), ('20240908', 2257.5640380916225), ('20240911', 2929.162403321652), ('20240912', 1975.6451601339836), ('20240913', 2975.93809432999), ('20240914', 2163.4632344801626), ('20240915', 2814.9022730707397), ('20240920', 2898.4263332355918), ('20240921', 3260.605654623312), ('20240924', 3347.2139187664184), ('20240925', 5892.979722616752), ('20240926', 8605.871730985149), ('20240927', 4908.441690238539), ('20240928', 8337.383364160061), ('20240929', 5086.558674334182), ('20240930', 3778.4611154640565), ('20241001', 5312.060074329858), ('20241002', 14851.638632981912), ('20241003', 26325.498317053316), ('20241004', 28443.40480370909), ('20241005', 32133.70977498762), ('20241006', 14229.05231304525), ('20241007', 9246.823686955326), ('20241008', 6631.644444371223), ('20241009', 4330.461300366301), ('20241010', 14829.66080450853)]"
婆媳,好婆婆和好媳妇,3750,muT-eZIBgji-xPyNmYtO,"[('20240917', 8230.832822274306), ('20240920', 5944.101367813354), ('20241001', 6378.690499656638), ('20241002', 5064.950913613006), ('20241003', 5614.375858388544), ('20241004', 6496.261956115782), ('20241005', 6772.642428633139), ('20241009', 8633.690293693237), ('20241010', 8030.537842601155)]"
婆媳,儿媳和婆婆的,22991,UOb-eZIBqpAnTjMolPbC,"[('20240924', 5170.13613663539), ('20240925', 5644.192977396024), ('20240926', 6006.368967893699), ('20240927', 4814.836719391308), ('20240928', 4994.922750863911), ('20241003', 7907.982915260089), ('20241005', 6180.897212521643), ('20241007', 14393.53594912137), ('20241010', 6524.057247556518)]"
婆媳,婆婆和儿媳妇,4,juT-eZIBgji-xPyNmY9U,"[('20241010', 2368)]"
婆媳,婆媳关系,181,nOT-eZIBgji-xPyNmY9U,"[('20240905', 213269.1191655825), ('20240906', 182283.5812819776), ('20240907', 175464.15283528637), ('20240908', 190360.57353266695), ('20240909', 194608.4993743469), ('20240910', 212772.01246914692), ('20240911', 205613.15127817044), ('20240912', 175459.5022423418), ('20240913', 194354.91481450258), ('20240914', 213971.52598335498), ('20240915', 162713.15968673152), ('20240916', 143922.8507552288), ('20240917', 139534.4685831789), ('20240918', 146280.11236460725), ('20240919', 181831.22006043157), ('20240920', 180361.02276057983), ('20240921', 158126.44732863232), ('20240922', 140707.63041480203), ('20240923', 132112.41668226273), ('20240924', 136852.9695370129), ('20240925', 168878.99569844207), ('20240926', 201736.6392140398), ('20240927', 171259.60939418597), ('20240928', 203561.36804891835), ('20240929', 213206.75971802024), ('20240930', 197696.29148206097), ('20241001', 151808.38205662163), ('20241002', 127182.26191090797), ('20241003', 122010.87777370634), ('20241004', 159724.09807126047), ('20241005', 148427.31441636133), ('20241006', 145761.82796766105), ('20241007', 183944.0037910718), ('20241008', 194956.14985092756), ('20241009', 233793.23105496715), ('20241010', 181328.67137199146)]"
婆媳,婆媳之间,16124,zYP-eZIBUXSdlPDbmsFk,"[('20240906', 2606.0333333333333), ('20240909', 2832.232163669664), ('20240910', 3510.6302031302034), ('20240913', 2643.00061942959), ('20240914', 3145.0443654384835), ('20240915', 5317.082846003898), ('20240916', 3327.3861968440915), ('20240918', 3362.7508613512928), ('20240920', 2756.35533126294), ('20240923', 4405.562604062604), ('20240924', 5305.7292929292935), ('20240925', 3797.6919891702505), ('20240926', 2749.2920361247952), ('20240927', 3141.083571428571), ('20240928', 5363.046153846154), ('20240929', 5493.574041535805), ('20240930', 4100.966810966811), ('20241001', 5958.960077198461), ('20241002', 4306.870238095238), ('20241003', 2944.7829781329783), ('20241004', 7967.577507215008), ('20241005', 6519.969129825843), ('20241006', 6614.473649961151), ('20241007', 4731.186837101666), ('20241008', 3994.951587301587), ('20241009', 5299.6092881548), ('20241010', 3878.8334054834045)]"
婆媳,婆媳日常,29145,5SL-eZIB3sk1SQNgmBTj,"[('20240910', 5218.732851649778), ('20240916', 7845.837548764672), ('20240920', 9065.953764950775), ('20240921', 9511.922507099147), ('20241010', 5008.208885357559)]"
