主题,关键词,飙升指数,关键词id,时间热度键值对
离婚,想离婚,3017604,fS7-eZIBxl_WZLR2mxeK,"[('20241002', 163482.65368083728), ('20241003', 118338.63047202234), ('20241010', 147403.59728763378)]"
离婚,闹离婚,32307,jSL-eZIB3sk1SQNgpyfU,"[('20241010', 9496.502272727272)]"
离婚,要离婚,123853,qAb-eZIBU5A0Yc-epXTa,"[('20240913', 12290.997450697452), ('20240914', 2375.3163582032003), ('20240916', 1969.236038961039), ('20240918', 2919.6167645185164), ('20240921', 8162.994940307055), ('20240922', 6473.133441558442), ('20240924', 14428.699190641155), ('20240925', 9097.717534220168), ('20240926', 5268.937346206425), ('20240928', 5642.666255041255), ('20240929', 7573.023839805992), ('20240930', 8911.827173189131), ('20241001', 23059.99600959469), ('20241002', 24013.837266622268), ('20241003', 35110.65825788543), ('20241004', 27922.256900942197), ('20241008', 6253.096086369771), ('20241010', 53675.95773338981)]"
离婚,离婚案,168525,j-f-eZIBqpAnTjMooQHQ,"[('20240905', 1113.1), ('20240906', 1152.7166666666667), ('20240908', 434.36666666666673), ('20240909', 372.68055555555554), ('20240924', 1374.469696969697), ('20240925', 884.5061264822134), ('20240926', 1526.3538510722012), ('20241001', 397.8043924466338), ('20241004', 548.5480519480519), ('20241005', 775.4348484848484), ('20241006', 918.3376068376068), ('20241007', 465.09084249084253), ('20241010', 538.1921945701358)]"
离婚,离婚vlog,31,Uyn-eZIBYSWNgpKPoqAk,"[('20241010', 7264)]"
离婚,离婚了,20981575,cin-eZIBYSWNgpKPo6cA,"[('20240905', 259997.49519369277), ('20240909', 271373.85087473085), ('20240913', 243225.02013017033), ('20240914', 212123.73407937723), ('20240915', 297601.21951817675), ('20240916', 211982.76861259594), ('20240917', 200775.44991689085), ('20240918', 206386.2925586453), ('20240929', 216666.76594127357), ('20241005', 180625.39195824944), ('20241006', 215546.58402272244), ('20241008', 226848.35975966998), ('20241009', 428616.24025408836), ('20241010', 237258.48253403156)]"
离婚,离婚后,15891,Rzz-eZIBeAB8871NpEzm,"[('20240906', 1094.4202898550723), ('20240920', 555.6666666666666), ('20241006', 830.1), ('20241009', 14069.7), ('20241010', 37857.83333333333)]"
离婚,离婚率,32028,Qin-eZIBYSWNgpKPoqWd,"[('20240906', 8861.64237012987), ('20240912', 2195.687728937729), ('20240920', 2923.759811165846), ('20240925', 3513.05347985348), ('20240926', 3134.575628075628), ('20240927', 2511.5583333333334), ('20240929', 5535.102518674137), ('20241002', 3435.287386225745), ('20241003', 3892.8574984402576), ('20241004', 2832.808871692588), ('20241005', 2927.0247950117514), ('20241006', 3339.7601044715743), ('20241007', 6267.567289932289), ('20241008', 3627.84141436261), ('20241009', 2712.9816780713836), ('20241010', 2574.122597236735)]"
离婚,不离婚,12713,ERn-eZIBgdoUXASpkh_k,"[('20240925', 4224.592007992008), ('20241010', 9666.471148459383)]"
离婚,提离婚,8447,R9H-eZIBeXyZiYWAnFOy,"[('20240925', 3421.7136363636364), ('20241009', 7320.421196581196), ('20241010', 4964.952304055594)]"
离婚,离婚证,169516,wuf-eZIBqpAnTjMooQDQ,"[('20240905', 3103.9430393512516), ('20240906', 2086.5), ('20240907', 2075.111904761905), ('20240908', 2464.389105339105), ('20240909', 2651.0690186125717), ('20240910', 948.4101477832512), ('20240911', 11626.554118844118), ('20240912', 3651.7720329670333), ('20240913', 21844.391328197948), ('20240915', 2738.454069856339), ('20240916', 1336.0775365701836), ('20240917', 2050.898015873016), ('20240918', 3448.866155199912), ('20240919', 4220.662801932368), ('20240920', 4154.961904761904), ('20240921', 3679.2449322416714), ('20240922', 25218.719522747782), ('20240923', 2417.173131868132), ('20240924', 3808.8488744588753), ('20240925', 5160.312481962482), ('20240926', 3859.7173433048433), ('20240927', 2189.625762258927), ('20240928', 3761.8004378763), ('20240929', 6681.101727804361), ('20240930', 2155.4977272727274), ('20241001', 4228.883486439601), ('20241002', 9862.055151135412), ('20241003', 3411.7070764761556), ('20241004', 22546.08416199813), ('20241005', 2400.131442952472), ('20241006', 1639.4957829236469), ('20241007', 2667.391927672368), ('20241008', 2737.742158187244), ('20241009', 5769.919784211989), ('20241010', 3750.4532773481287)]"
离婚,离婚不离家,2607,Byn-eZIBYSWNgpKPop8j,"[('20241010', 1848.6666666666665)]"
离婚,假离婚,22468,X-b-eZIBqpAnTjMolPK7,"[('20240905', 929.4466666666666), ('20240906', 677.3666666666666), ('20240909', 13882.968540080608), ('20240910', 10627.833333333334), ('20240911', 2622.344322344323), ('20240912', 952.2857142857142), ('20240916', 683.1), ('20240918', 502.87619047619046), ('20240919', 1647.6757575757574), ('20240921', 900.1148272017837), ('20240922', 5985.833333333333), ('20240923', 545.0416666666667), ('20240925', 1058.9901960784314), ('20240926', 1086.1802808302807), ('20240927', 1388.5434075384537), ('20240929', 515.6071969696969), ('20241002', 836.9689608636977), ('20241003', 4565.83281573499), ('20241004', 953.958782883783), ('20241005', 4451.787247474747), ('20241006', 1210.603468611525), ('20241007', 422.885794282346), ('20241008', 699.8033333333334), ('20241009', 691.0744255744256), ('20241010', 609.2072811447812)]"
离婚,没离婚,2153,Lef-eZIBqpAnTjMooQCs,"[('20241010', 4832.433333333333)]"
离婚,离婚吧,32614,jef-eZIBqpAnTjMooQHQ,"[('20240917', 4551.615384615385), ('20240921', 3616.583333333333), ('20240922', 3344.3611111111113), ('20240925', 3377.3722222222223), ('20240926', 4062.464285714286), ('20240928', 5053.742171717172), ('20241002', 2194.83021978022), ('20241003', 3153.4427757427757), ('20241004', 2266.393722943723), ('20241006', 3972.4938411261937), ('20241010', 2844.8645308123246)]"
离婚,离婚的,4316017,kCn-eZIBYSWNgpKPo6gA,"[('20240905', 215765.03329738317), ('20240924', 174422.47542152106), ('20241010', 173912.33190419019)]"
离婚,离婚典礼,10268,GCn-eZIBYSWNgpKPoZ4B,"[('20241009', 5364), ('20241010', 7572.166666666667)]"
离婚,诉讼离婚,174681,tMP-eZIBLPKOME8soxNK,"[('20240905', 11428.662786194714), ('20240906', 23412.98578030386), ('20240907', 12394.148046659933), ('20240908', 5881.172922475701), ('20240909', 9337.664698692897), ('20240910', 9302.30123635656), ('20240911', 9235.069743002994), ('20240912', 8950.938553404372), ('20240913', 7368.901120094503), ('20240914', 6732.434169517611), ('20240915', 4380.243950587123), ('20240916', 5378.585684432527), ('20240917', 4777.190732772975), ('20240918', 6958.0419084136465), ('20240919', 9151.312501802686), ('20240920', 10129.581556581123), ('20240921', 7728.030683016749), ('20240922', 4940.608073773804), ('20240923', 8423.88519099723), ('20240924', 12768.579153633158), ('20240925', 11956.734297772962), ('20240926', 12800.533235459863), ('20240927', 11874.226663993062), ('20240928', 15957.326170276901), ('20240929', 18624.433419578563), ('20240930', 12357.208937081068), ('20241001', 5328.768990411619), ('20241002', 7154.234598434216), ('20241003', 9033.167306282228), ('20241004', 11977.497595354647), ('20241005', 16938.718959830258), ('20241006', 8897.594716388929), ('20241007', 8679.251558012606), ('20241008', 15061.979606488514), ('20241009', 12382.545033510556), ('20241010', 13921.600030598966)]"
离婚,离婚带娃,1210,-SL-eZIB3sk1SQNgpSB8,"[('20240916', 7885.875), ('20241010', 2497.1381578947367)]"
离婚,离婚补偿,3871,6yn-eZIBYSWNgpKPo6cA,"[('20240906', 939.2333333333333), ('20240912', 493.0238095238095), ('20240916', 420.33333333333337), ('20240930', 595.5), ('20241005', 616.5), ('20241006', 306.5), ('20241007', 540.5), ('20241010', 509.75757575757575)]"
离婚,新婚夜离婚时,297064,JtH-eZIBeXyZiYWAnmJI,"[('20241003', 8225), ('20241004', 22277.5), ('20241005', 11636.333333333336), ('20241006', 7046.833333333332), ('20241007', 5150.516666666667), ('20241009', 6464.35476190476), ('20241010', 4558.161904761905)]"
离婚,女人离婚,163,IiL-eZIB3sk1SQNgmRe4,"[('20241009', 2927.45126956377), ('20241010', 5118.033315385652)]"
离婚,网上离婚,17972,BKb-eZIB3eaiQywKpmme,"[('20240929', 25975.88930672477), ('20241006', 16444.34447672131), ('20241007', 24455.80440084583), ('20241008', 37587.2093351889), ('20241009', 31043.551366098924), ('20241010', 32746.962983991383)]"
离婚,离婚快乐,15094,Gin-eZIBYSWNgpKPoZ4B,"[('20240923', 2682.9776923076925), ('20241010', 6216.67294985716)]"
