主题,关键词,飙升指数,关键词id,时间热度键值对
幸福感,幸福感,9919092,DIP-eZIBUXSdlPDbm85L,"[('20240905', 177551.40760861046), ('20240906', 145249.26640183834), ('20240907', 161589.5205546184), ('20240908', 160266.7755895823), ('20240909', 174418.84977694118), ('20240910', 225566.50697390246), ('20240913', 166575.6487165595), ('20240914', 204341.2115754884), ('20240915', 230224.83803996144), ('20240916', 235855.19421234154), ('20240917', 209751.58777236415), ('20240918', 412705.5131775895), ('20240919', 318366.47989607265), ('20240920', 182554.6726047931), ('20240921', 231770.90640055406), ('20240922', 206125.90964215665), ('20240923', 179542.55588894343), ('20240924', 176373.3717901642), ('20240925', 167471.74488718243), ('20240926', 190480.86308797856), ('20240927', 165957.45184345337), ('20240928', 174796.19711046037), ('20240929', 170261.9854961996), ('20241002', 141643.60385550788), ('20241003', 164144.82583046673), ('20241004', 216502.25159363882), ('20241005', 284685.6265858727), ('20241006', 247685.13530855908), ('20241007', 265439.0987701951), ('20241009', 173291.04913854055), ('20241010', 185285.97915895295)]"
幸福感,感到幸福,9548,kIP-eZIBUXSdlPDbm9BM,"[('20240911', 9715.728755221387), ('20240912', 6284.2924854677485), ('20240913', 4376.11343101343), ('20240915', 6176.369913419914), ('20240922', 6822.720640222974), ('20240924', 4967.295154491006), ('20240930', 5972.996611407085), ('20241010', 8102.109140475965)]"
幸福感,幸福幸福,38672,aKb-eZIB3eaiQywKmlkP,"[('20240905', 8610.986363636364), ('20240906', 5323.39880952381), ('20240907', 4164.784235611132), ('20240909', 3453.577272727273), ('20241002', 5660.270168720169), ('20241003', 6855.235248717968), ('20241007', 9607.775475445049), ('20241008', 4651.7903888509145), ('20241009', 4615.740553359685), ('20241010', 6586.9580634278)]"
幸福感,感觉幸福,0,xS7-eZIBxl_WZLR2nB75,"[('20241010', 2577)]"
幸福感,幸福感满满,1578898,coP-eZIBUXSdlPDbmsnk,"[('20241010', 97628.08076255574)]"
幸福感,幸福的感觉,2094,dIP-eZIBUXSdlPDbmsnk,"[('20240920', 2957.6146825396827), ('20240923', 3236.4166666666665), ('20241010', 2553.342803030303)]"
幸福感,提升幸福感,35896,9rr-eZIBMXK0YSCQn4U1,"[('20240908', 2635.906046737532), ('20240909', 2815.838748832867), ('20240911', 3567.1370433120146), ('20240912', 6706.392133520075), ('20240914', 2815.0376745806952), ('20240916', 3661.475809307651), ('20240917', 2387.68204439239), ('20240918', 3207.8280502910934), ('20240919', 3739.4894179894177), ('20240922', 4144.773307024359), ('20240924', 2783.0796188267605), ('20241002', 2704.846035606906), ('20241009', 3284.221847712523), ('20241010', 2730.9135803851323)]"
幸福感,幸福感爆棚,71863,aYP-eZIBUXSdlPDbmsaq,"[('20240910', 8871.4328496804), ('20241007', 7503.608582353319), ('20241009', 6857.945140153964), ('20241010', 7437.1188548042)]"
幸福感,感受你的幸福,1873,vS7-eZIBxl_WZLR2nBsn,"[('20241005', 5431.086542443065), ('20241006', 5794.915656565654), ('20241007', 4598.240904071773), ('20241008', 4116.09030430354), ('20241009', 6647.286825396827), ('20241010', 4402.281260844418)]"
幸福感,好幸福好幸福,5150,O-T-eZIBgji-xPyNmpeI,"[('20241010', 22109.787439613527)]"
