主题,关键词,飙升指数,关键词id,时间热度键值对
焦虑,焦虑症,1980399,YJj-eZIB-JDbKjAEoduk,"[('20240905', 52618.440991508694), ('20240906', 52698.34137348992), ('20240907', 41188.08843917828), ('20240908', 43628.88010575195), ('20240909', 44374.82395629204), ('20240910', 37863.262221949975), ('20240911', 43468.26971349615), ('20240912', 40864.54799503737), ('20240913', 34331.8006715192), ('20240914', 37023.9714549985), ('20240915', 30395.889588822854), ('20240916', 26538.35194010606), ('20240917', 30239.298071099958), ('20240918', 32935.75269977099), ('20240919', 39186.64442825331), ('20240920', 46587.89289357467), ('20240921', 40724.93200169979), ('20240922', 30991.818996914248), ('20240923', 35314.00335040121), ('20240924', 36638.35258227184), ('20240925', 33345.99707283138), ('20240926', 42200.7790039696), ('20240927', 38027.173014685366), ('20240928', 37101.71009303735), ('20240929', 45519.297028884575), ('20240930', 24957.108189218827), ('20241001', 21161.540428242584), ('20241002', 22129.981329216793), ('20241003', 23902.42404767431), ('20241004', 23294.181105021402), ('20241005', 24823.934776374786), ('20241006', 20287.429542226746), ('20241007', 22092.050431483804), ('20241008', 26596.94014790977), ('20241009', 21039.110961534905), ('20241010', 23377.547757860673)]"
焦虑,焦虑了,49095,tZj-eZIB-JDbKjAEodce,"[('20240905', 3451.4307833575986), ('20240906', 4241.590087212982), ('20240910', 5384.052711325482), ('20240912', 4974.083218364024), ('20240913', 6504.7543471625), ('20240914', 4241.117642329439), ('20240915', 6903.108675114315), ('20240916', 6187.925561419777), ('20240917', 3745.851941615029), ('20240918', 5142.007654661688), ('20240922', 4515.871493075956), ('20240925', 6034.406242177363), ('20240927', 7279.940476190476), ('20240929', 6431.639921381301), ('20240930', 4127.13321397909), ('20241001', 3703.0635546302983), ('20241002', 4112.030716315511), ('20241003', 2938.6139364144633), ('20241006', 5217.715370515752), ('20241007', 3589.6860573839836), ('20241009', 7662.6624798031935), ('20241010', 6911.529211957653)]"
焦虑,不焦虑,119885,ABn-eZIBgdoUXASpkh_k,"[('20240905', 8105.346645423786), ('20240907', 9314.830257432825), ('20240910', 9235.156612353163), ('20240911', 7651.211972829214), ('20240912', 8291.66144346373), ('20240913', 8197.092045964197), ('20240917', 8453.227588861328), ('20240919', 8549.633474542192), ('20240926', 9563.87992528241), ('20240927', 6884.181701455104), ('20241001', 5976.661282331973), ('20241006', 9481.424882916112), ('20241009', 7089.526515151514), ('20241010', 9119.335010360013)]"
焦虑,好焦虑,113589,ayL-eZIB3sk1SQNgmA-3,"[('20240907', 7343.064509154677), ('20240919', 7010.123624382863), ('20240921', 7475.177786119968), ('20240930', 8985.771915136755), ('20241010', 7481.611360402051)]"
焦虑,抗焦虑,8058,mLr-eZIBMXK0YSCQn4Y1,"[('20241008', 4279), ('20241009', 7236), ('20241010', 9298.166666666668)]"
焦虑,别焦虑,1247519,xCf-eZIBmV5X-ep3lZM4,"[('20241010', 173794.8619323692)]"
焦虑,会焦虑,223,Jin-eZIBYSWNgpKPk5H4,"[('20240912', 2731.1286833855797), ('20241010', 3187.949451410659)]"
焦虑,少焦虑,110215,rqb-eZIB3eaiQywKmmCA,"[('20240905', 3926.695833333333), ('20241001', 4403.2713150777545), ('20241002', 6146.735994863763), ('20241003', 9726.339843240545), ('20241004', 9283.448412698413), ('20241005', 6258.737668997673), ('20241006', 6442.358566795526), ('20241007', 9046.053288927611), ('20241008', 9134.641085026084), ('20241009', 9951.584282601933), ('20241010', 8698.158727383729)]"
焦虑,缓解焦虑,107956,4ef-eZIBqpAnTjMoow6z,"[('20240905', 4125.910741438159), ('20240906', 3300.623178796321), ('20240908', 2454.210940187538), ('20240909', 2657.4294632198994), ('20240910', 3997.1100589010302), ('20240911', 4728.7610077374975), ('20240912', 9809.314545710455), ('20240913', 4765.134839676888), ('20240914', 5432.306087884019), ('20240915', 5615.7015335296355), ('20240916', 4226.000476898304), ('20240917', 3112.4418173492277), ('20240918', 2743.702713808675), ('20240922', 2774.2430077383797), ('20240924', 2915.2649382231866), ('20240926', 5179.423418738125), ('20240927', 5115.846363011755), ('20240928', 3023.9093649565093), ('20241003', 1436.1706750901851), ('20241006', 3361.58832093832), ('20241007', 3621.6512505196733), ('20241008', 2100.528989385455), ('20241010', 3294.565521243462)]"
焦虑,不用焦虑,17517,Rxn-eZIBgdoUXASpkiHk,"[('20240905', 1123.8333333333335), ('20240906', 948.6367521367521), ('20240919', 1695.0218980253462), ('20240921', 954.8940476190476), ('20240928', 2560.5827024827026), ('20240929', 3841.8333333333335), ('20241001', 1140.6444444444446), ('20241010', 1637)]"
焦虑,容貌焦虑,105784,MOT-eZIBgji-xPyNmZJU,"[('20240907', 9220.048908860867), ('20240908', 8743.224313650264), ('20240909', 6946.752629602059), ('20240910', 8883.43405626008), ('20240913', 9458.799949715036), ('20240916', 9293.158832826393), ('20240926', 8500.535317460317), ('20241001', 6478.959601493308), ('20241002', 9156.814833418213), ('20241003', 6007.390352014538), ('20241005', 7160.393315048122), ('20241006', 7141.869208537312), ('20241009', 5963.708745303623), ('20241010', 7682.746037296037)]"
焦虑,不必焦虑,19753,SBn-eZIBgdoUXASpkiX2,"[('20240906', 1949.3880952380953), ('20240909', 7860.537896825397), ('20240910', 8926.572094065205), ('20240911', 6596.195284780581), ('20240912', 4452.925254423939), ('20240913', 3977.2229494190024), ('20240914', 2344.0883944770776), ('20240915', 2200.8513347763346), ('20240918', 2026.8912088198465), ('20240921', 3049.7262866762867), ('20240922', 4381.972246863581), ('20240924', 3386.7039319778446), ('20240925', 5658.7169519077415), ('20240926', 4817.372142857143), ('20240927', 3085.2544323194866), ('20240928', 2528.3019986984696), ('20241001', 2902.3323376623375), ('20241006', 8668.469089244089), ('20241009', 3758.755595842619), ('20241010', 4888.740827905375)]"
焦虑,养娃焦虑,1572,EML-eZIBLPKOME8slf__,"[('20241010', 811.8333333333334)]"
焦虑,分离焦虑,24617,MSf-eZIBmV5X-ep3lZyS,"[('20240905', 38986.437495837505), ('20240906', 33343.31893778736), ('20240908', 6167.423575036075), ('20240909', 19877.442534868624), ('20240913', 7261.184434849062), ('20240914', 7994.716854619408), ('20240918', 7214.706259444591), ('20240919', 4803.37693956448), ('20240920', 4305.187316571644), ('20241010', 4907.545155993432)]"
焦虑,焦虑抑郁,679969,Npj-eZIB-JDbKjAEoNQI,"[('20240905', 4924.962889615521), ('20240906', 5664.372600480045), ('20240907', 4701.380590971343), ('20240908', 9165.634902752172), ('20240909', 5158.872423814299), ('20240910', 20647.927808981127), ('20240911', 34729.38517372261), ('20240912', 16289.259403596978), ('20240913', 8260.978670346747), ('20240914', 9836.64079645558), ('20240915', 6461.422957400543), ('20240916', 8593.513888131823), ('20240917', 5290.532826900691), ('20240918', 4446.639326639061), ('20240919', 6872.320784224786), ('20240920', 7882.194129931893), ('20240921', 7346.14142236377), ('20240922', 4720.542750997001), ('20240923', 6259.520865311754), ('20240924', 7541.282136451209), ('20240925', 4487.074852950073), ('20240926', 4370.579268507361), ('20240927', 5714.1507365937905), ('20240928', 5754.0208671468745), ('20240929', 4852.916892869846), ('20240930', 3543.146394283732), ('20241001', 4681.093209763582), ('20241002', 3692.058571284652), ('20241003', 4070.369726628315), ('20241004', 3663.789245832577), ('20241005', 5042.960314613486), ('20241006', 3248.102088092258), ('20241007', 3478.610840319224), ('20241008', 6841.689293795727), ('20241009', 5410.691086798764), ('20241010', 4626.519008446102)]"
焦虑,解决焦虑,342,7sP-eZIBLPKOME8soxJK,"[('20241010', 399)]"
焦虑,孕期焦虑,4017,ceT-eZIBgji-xPyNmpiI,"[('20240909', 905.0528817587642), ('20240911', 1145.807553533175), ('20240912', 1059.7904761904763), ('20240913', 1798.0219047619048), ('20240914', 2352.0131914381914), ('20240916', 872.8833333333334), ('20240919', 1166.8869047619046), ('20240921', 819.0886699507389), ('20240925', 1008.1388888888889), ('20240927', 1439.7964285714286), ('20240928', 2127.4523809523807), ('20241001', 590.6527777777778), ('20241002', 640.9066666666666), ('20241004', 584.0994708994709), ('20241005', 2154.4455128205127), ('20241006', 790.1309744852848), ('20241010', 1115.3264957264958)]"
焦虑,不要焦虑,45496,VRn-eZIBgdoUXASpkykL,"[('20240912', 2900.211111111111), ('20240913', 2428.564718614719), ('20240923', 12027.083006535948), ('20240924', 3142.6218234981397), ('20240925', 2894.9163333234274), ('20240926', 5373.572619047619), ('20240927', 2818.2468864468874), ('20240928', 12938.153130203133), ('20241001', 2716.5526402974983), ('20241005', 2670.3877842464044), ('20241007', 5643.269595802749), ('20241008', 3134.8170571258806), ('20241009', 2977.7794505494503), ('20241010', 6217.147743922744)]"
焦虑,制造焦虑,108429,Zif-eZIBmV5X-ep3lZyS,"[('20240911', 2300.7), ('20240915', 4307.858974358975), ('20240916', 3527.946666666667), ('20240917', 1814.2225274725274), ('20240922', 3381.5499999999997), ('20241009', 8321.441666666668), ('20241010', 65604.02714285714)]"
焦虑,年龄焦虑,86638,Uxz-eZIByrdU5mram1n7,"[('20240910', 1216.3333333333335), ('20240911', 1999.5), ('20240912', 2495.933333333333), ('20240913', 623), ('20241009', 3135), ('20241010', 2394.5)]"
焦虑,拒绝焦虑,167678,nL_-eZIB-imYiYzlnvQX,"[('20240921', 6603.322510822511), ('20240924', 8792.985978835979), ('20240926', 6186.408225108226), ('20240928', 8106.973717948718), ('20240929', 6893.257268170426), ('20241004', 9118.199766899766), ('20241005', 5949.271077533577), ('20241008', 6257.435687777135), ('20241010', 6799.325124323503)]"
焦虑,身材焦虑,21005,GS7-eZIBxl_WZLR2qCV5,"[('20240922', 1160.1), ('20241007', 3202.63), ('20241010', 1095.8357142857142)]"
焦虑,告别焦虑,118,Mwb-eZIBU5A0Yc-el2Na,"[('20241010', 270)]"
焦虑,无需焦虑,2628,z9L-eZIBt-JPqn_2nUBZ,"[('20240907', 405), ('20240930', 560.2954545454545), ('20241010', 539.3636363636364)]"
