话题id,话题,热度值,发布视频量,播放量,稿均播放量,话题创建时间,话题时间热度键值对,差分值,趋势
1.61582E+15,婚姻关系,217347,126049,2643032997,20968,2018/10/31 6:28,"[('20240908', 0), ('20240915', 52142), ('20240919', 39060)]",39060,整体上升趋势
1.573E+15,背叛,118489,208735,8828826560,42296,2017/7/15 13:26,"[('20240906', 45598), ('20240907', 36489), ('20240908', 31278), ('20240909', 30213), ('20240910', 26011), ('20240911', 26228), ('20240912', 47172), ('20240913', 35151), ('20240914', 24700), ('20240915', 24852), ('20240916', 22057), ('20240917', 20229), ('20240918', 20407), ('20240919', 22219)]",-23379,整体下降趋势
1.61013E+15,夫妻相处,72103,35203,1121114190,31847,2018/8/29 12:04,"[('20240906', 3299), ('20240907', 3389), ('20240908', 3302), ('20240909', 7584), ('20240910', 37179), ('20240911', 37092), ('20240912', 14250), ('20240913', 29613), ('20240914', 18887), ('20240915', 13036), ('20240916', 9793), ('20240917', 7005), ('20240918', 8717), ('20240919', 7283)]",3984,整体上升趋势
1.60651E+15,婚姻情感,487222,2058667,38572000934,18736,2018/7/20 12:19,"[('20240906', 87989), ('20240907', 83151), ('20240908', 87278), ('20240909', 72198), ('20240910', 100342), ('20240911', 90536), ('20240912', 74987), ('20240913', 67194), ('20240914', 103430), ('20240915', 111597), ('20240916', 103053), ('20240917', 92657), ('20240918', 102851), ('20240919', 115299)]",27310,整体上升趋势
1.71242E+15,珂莱妮,31622,393,494342909,1257869,2021/10/1 12:12,"[('20240906', 2458), ('20240907', 23157), ('20240908', 15537), ('20240909', 1539), ('20240910', 7042), ('20240911', 2005), ('20240912', 12040), ('20240913', 1013), ('20240914', 8796), ('20240915', 10306), ('20240916', 1466), ('20240917', 12888), ('20240918', 2308), ('20240919', 2577)]",119,整体上升趋势
1.6588E+15,周文强太太,30776,81689,3973126492,48637,2020/2/17 15:54,"[('20240906', 6773), ('20240907', 10148), ('20240908', 4879), ('20240909', 6268), ('20240910', 7268), ('20240911', 31843), ('20240912', 9022), ('20240913', 9157), ('20240914', 0), ('20240914', 5552), ('20240915', 5244), ('20240916', 6391), ('20240917', 7183), ('20240918', 11016), ('20240919', 5545)]",-1228,整体下降趋势
1.78643E+15,上海震亚律师事务所,17660,138,2879709,20867,2023/12/27 9:59,"[('20240906', 2077), ('20240907', 1710), ('20240908', 1482), ('20240909', 1957), ('20240910', 2313), ('20240911', 3568), ('20240912', 3557), ('20240913', 2847), ('20240914', 2245), ('20240915', 2248), ('20240916', 3363), ('20240917', 4247), ('20240918', 5342), ('20240919', 3944)]",1867,整体上升趋势
1.57554E+15,娘娘,13968,6659,128615107,19314,2017/8/12 15:45,"[('20240906', 1015), ('20240907', 680), ('20240908', 562), ('20240909', 225), ('20240910', 0), ('20240910', 153), ('20240911', 155), ('20240912', 318), ('20240913', 10374), ('20240914', 5368), ('20240915', 4834), ('20240916', 2722), ('20240917', 1699), ('20240918', 1251), ('20240919', 1087)]",72,整体上升趋势
1.60618E+15,背叛欺骗,13414,91440,954718836,10440,2018/7/16 19:49,"[('20240906', 4788), ('20240907', 3051), ('20240908', 3452), ('20240909', 3252), ('20240910', 4677), ('20240911', 4460), ('20240912', 4177), ('20240913', 3364), ('20240914', 3318), ('20240915', 4401), ('20240916', 2815), ('20240917', 3112), ('20240918', 4742), ('20240919', 2713)]",-2075,整体下降趋势
1.63438E+15,背叛的代价,11382,6644,126689011,19068,2019/5/24 2:41,"[('20240906', 240), ('20240907', 269), ('20240908', 3017), ('20240909', 10325), ('20240910', 2954), ('20240911', 2118), ('20240912', 1204), ('20240913', 7890), ('20240914', 2015), ('20240915', 1295), ('20240916', 970), ('20240917', 534), ('20240918', 467), ('20240919', 627)]",387,整体上升趋势
1.63601E+15,家庭和谐最重要,10695,956,64514691,67483,2019/6/11 2:20,"[('20240906', 3364), ('20240907', 5861), ('20240908', 5398), ('20240909', 847), ('20240910', 758), ('20240911', 5155), ('20240912', 756), ('20240913', 450), ('20240914', 441), ('20240915', 621), ('20240916', 4997), ('20240917', 3674), ('20240918', 2328), ('20240919', 809)]",-2555,整体下降趋势
1.61777E+15,翻旧账,75699,2404,60631811,25221,2018/11/21 18:26,"[('20240906', 127), ('20240907', 92), ('20240908', 89), ('20240909', 173), ('20240910', 108), ('20240911', 124), ('20240912', 473), ('20240913', 0), ('20240913', 149), ('20240914', 98), ('20240915', 83), ('20240916', 138), ('20240917', 13471), ('20240918', 56545), ('20240919', 13599)]",13472,整体上升趋势
1.71566E+15,大锋少,8035,300,13377783,44592,2021/11/6 5:37,"[('20240906', 920), ('20240907', 1109), ('20240908', 1204), ('20240909', 856), ('20240910', 598), ('20240911', 704), ('20240912', 743), ('20240913', 933), ('20240914', 942), ('20240915', 2055), ('20240916', 4097), ('20240917', 1655), ('20240918', 1640), ('20240919', 968)]",48,整体上升趋势
1.7751E+15,范俊娟婚姻,183646,477,34770857,72894,2023/8/24 10:07,"[('20240906', 4863), ('20240907', 4364), ('20240908', 3949), ('20240909', 41763), ('20240910', 20476), ('20240911', 16512), ('20240912', 13459), ('20240913', 24224), ('20240914', 32152), ('20240915', 43093), ('20240916', 42397), ('20240917', 40900), ('20240918', 29128), ('20240919', 24441)]",19578,整体上升趋势
1.60641E+15,zulyar,7446,65,3968616,61055,2018/7/19 9:18,"[('20240906', 3722), ('20240907', 2647), ('20240908', 2951), ('20240909', 6672), ('20240910', 2364), ('20240911', 1552), ('20240912', 6016), ('20240913', 1107), ('20240914', 1057), ('20240915', 1268), ('20240916', 1207), ('20240917', 2471), ('20240918', 2732), ('20240919', 1018)]",-2704,整体下降趋势
