话题id,话题,热度值,发布视频量,播放量,稿均播放量,话题创建时间,话题时间热度键值对,差分值,趋势
1.66E+15,高敏感人格,26742,724,76514486,105682,2020/3/24 14:28,"[('20240906', 3316), ('20240907', 2023), ('20240908', 4563), ('20240909', 2215), ('20240910', 2004), ('20240910', 0), ('20240911', 1570), ('20240911', 0), ('20240912', 3075), ('20240912', 0), ('20240913', 2588), ('20240914', 2544), ('20240915', 6543), ('20240916', 3244), ('20240917', 4298), ('20240918', 8051), ('20240919', 6423)]",3107,整体上升趋势
1.60E+15,要面子,3186,727,48129137,66202,2018/6/9 1:53,"[('20240906', 162), ('20240907', 0), ('20240907', 118), ('20240908', 168), ('20240909', 1576), ('20240910', 184), ('20240911', 100), ('20240912', 147), ('20240913', 137), ('20240914', 119), ('20240915', 91), ('20240916', 72), ('20240917', 162), ('20240918', 98), ('20240919', 2989)]",2827,整体上升趋势
1.59E+15,冯唐,49443,34360,1885340065,54870,2018/2/25 4:13,"[('20240906', 10835), ('20240907', 13196), ('20240908', 13431), ('20240909', 10985), ('20240910', 12633), ('20240911', 11521), ('20240912', 13984), ('20240913', 11978), ('20240914', 12800), ('20240915', 9957), ('20240916', 8800), ('20240917', 9994), ('20240918', 17691), ('20240919', 13629)]",2794,整体上升趋势
1.70E+15,思维卡片,6660,15,370805,24720,2021/5/14 8:29,"[('20240913', 495), ('20240914', 389), ('20240915', 226), ('20240916', 195), ('20240917', 114), ('20240918', 3196), ('20240919', 3200)]",2705,整体上升趋势
1.65E+15,显化,34946,59253,526118099,8879,2019/12/13 6:30,"[('20240906', 10866), ('20240907', 8821), ('20240908', 10668), ('20240909', 5549), ('20240910', 4318), ('20240911', 4112), ('20240912', 3079), ('20240913', 2703), ('20240914', 2961), ('20240915', 3889), ('20240916', 3304), ('20240917', 9710), ('20240918', 11868), ('20240919', 13513)]",2647,整体上升趋势
1.61E+15,负面情绪,4421,16916,176426155,10429,2018/8/29 0:51,"[('20240907', 0), ('20240908', 1089), ('20240915', 0), ('20240916', 802), ('20240917', 0), ('20240919', 2200)]",2200,整体上升趋势
1.60E+15,成长感悟,10640,15031,191420006,12735,2018/5/12 22:19,"[('20240906', 1314), ('20240907', 3257), ('20240908', 8705), ('20240909', 6403), ('20240910', 2099), ('20240911', 1636), ('20240912', 1371), ('20240913', 1552), ('20240914', 1808), ('20240915', 1597), ('20240916', 1352), ('20240917', 2480), ('20240918', 3718), ('20240919', 3181)]",1867,整体上升趋势
1.75E+15,直面人性女性智慧锦囊,32122,969,20906078,21574,2022/10/17 10:43,"[('20240906', 5878), ('20240907', 5859), ('20240908', 5945), ('20240909', 6557), ('20240910', 5105), ('20240911', 5097), ('20240912', 3183), ('20240913', 3526), ('20240914', 4420), ('20240915', 5060), ('20240916', 6414), ('20240917', 7837), ('20240918', 7881), ('20240919', 7724)]",1846,整体上升趋势
7.37E+18,老胡给你1000个面对现实的人性金句建议,32040,173,11588702,66986,2024/5/6 10:51,"[('20240906', 5785), ('20240907', 5780), ('20240908', 5914), ('20240909', 6488), ('20240910', 5005), ('20240911', 5060), ('20240912', 2976), ('20240913', 3384), ('20240914', 4297), ('20240915', 4980), ('20240916', 6344), ('20240917', 7821), ('20240918', 7770), ('20240919', 7604)]",1819,整体上升趋势
1.77E+15,老胡幕僚人性智慧365社群,32743,990,24986531,25238,2023/6/29 10:16,"[('20240906', 6487), ('20240907', 6238), ('20240908', 6339), ('20240909', 6833), ('20240910', 5477), ('20240911', 5420), ('20240912', 3869), ('20240913', 3944), ('20240914', 4913), ('20240915', 5396), ('20240916', 6785), ('20240917', 8284), ('20240918', 8373), ('20240919', 8143)]",1656,整体上升趋势
1.72E+15,直面人性摆脱困境,13934,2516,105704052,42012,2021/11/21 0:44,"[('20240906', 967), ('20240907', 764), ('20240908', 652), ('20240909', 825), ('20240910', 586), ('20240911', 613), ('20240912', 1375), ('20240913', 1645), ('20240914', 2178), ('20240915', 2813), ('20240916', 3968), ('20240917', 4766), ('20240918', 3278), ('20240919', 2306)]",1339,整体上升趋势
1.65E+15,状态,4214,180281,926408621,5138,2019/12/13 17:53,"[('20240908', 0), ('20240909', 0), ('20240910', 1070), ('20240911', 924), ('20240912', 0), ('20240913', 917), ('20240915', 1097), ('20240917', 1142), ('20240918', 0), ('20240919', 1329)]",1329,整体上升趋势
1.63E+15,生育观,0,1617,61813023,38226,2019/5/21 6:37,"[('20240906', 30), ('20240907', 89), ('20240908', 94), ('20240909', 51), ('20240909', 0), ('20240910', 0), ('20240910', 33), ('20240911', 56), ('20240912', 339), ('20240913', 274), ('20240914', 197), ('20240915', 53), ('20240916', 3904), ('20240917', 11958), ('20240918', 0), ('20240918', 1308)]",1278,整体上升趋势
1.73E+15,莫棋凯经典语录,3394,113,19252108,170372,2022/5/7 0:36,"[('20240906', 782), ('20240907', 579), ('20240908', 408), ('20240909', 488), ('20240910', 611), ('20240911', 613), ('20240912', 747), ('20240913', 764), ('20240914', 556), ('20240915', 288), ('20240916', 669), ('20240917', 304), ('20240918', 1573), ('20240919', 1996)]",1214,整体上升趋势
1.71E+15,老胡心法,2756,1559,110406023,70818,2021/10/26 11:31,"[('20240906', 1200), ('20240907', 870), ('20240908', 858), ('20240909', 911), ('20240910', 707), ('20240911', 786), ('20240912', 1422), ('20240913', 957), ('20240914', 1087), ('20240915', 797), ('20240916', 869), ('20240917', 976), ('20240918', 1131), ('20240919', 2130)]",930,整体上升趋势
1.59E+15,改变命运,79168,304513,2541127227,8344,2018/1/30 10:56,"[('20240906', 16058), ('20240907', 14049), ('20240908', 25001), ('20240909', 19265), ('20240910', 14370), ('20240911', 12929), ('20240912', 14546), ('20240913', 25405), ('20240914', 19024), ('20240915', 15935), ('20240916', 9439), ('20240917', 11561), ('20240918', 18849), ('20240919', 16974)]",916,整体上升趋势
1.66E+15,女性成长智慧,18059,144633,1145407295,7919,2020/2/28 14:02,"[('20240906', 2529), ('20240907', 2962), ('20240908', 2059), ('20240909', 2959), ('20240910', 3916), ('20240911', 4455), ('20240912', 3221), ('20240913', 3934), ('20240914', 6837), ('20240915', 2609), ('20240916', 4198), ('20240917', 5192), ('20240918', 3262), ('20240919', 3264)]",735,整体上升趋势
1.79E+15,花中观己留住美好,1389,86,37951611,441297,2024/2/22 2:00,"[('20240906', 83), ('20240907', 131), ('20240908', 220), ('20240909', 228), ('20240910', 160), ('20240911', 182), ('20240911', 0), ('20240912', 184), ('20240913', 181), ('20240914', 220), ('20240915', 96), ('20240915', 0), ('20240916', 316), ('20240917', 136), ('20240917', 0), ('20240918', 162), ('20240919', 710)]",627,整体上升趋势
7.41E+18,什么是焦虑型依恋人格,1398,261,3691819,14144,2024/9/8 5:27,"[('20240908', 64), ('20240909', 808), ('20240910', 235), ('20240911', 227), ('20240912', 160), ('20240913', 93), ('20240914', 145), ('20240915', 124), ('20240916', 100), ('20240917', 119), ('20240918', 748), ('20240919', 688)]",624,整体上升趋势
1.75E+15,旺自己的小妙招,4645,4666,48665454,10429,2023/1/8 23:07,"[('20240906', 592), ('20240907', 642), ('20240908', 912), ('20240909', 1529), ('20240910', 1451), ('20240911', 975), ('20240912', 782), ('20240913', 635), ('20240914', 669), ('20240915', 713), ('20240916', 854), ('20240917', 1148), ('20240918', 1479), ('20240919', 1073)]",481,整体上升趋势
1.61E+15,自我疗愈,8835,25363,218334651,8608,2018/8/22 15:14,"[('20240906', 2327), ('20240907', 1744), ('20240908', 2202), ('20240909', 2014), ('20240910', 2892), ('20240911', 1827), ('20240912', 1602), ('20240913', 1628), ('20240914', 1485), ('20240915', 1709), ('20240916', 1927), ('20240917', 1826), ('20240918', 2720), ('20240919', 2774)]",447,整体上升趋势
1.58E+15,转变,52871,8766,166035214,18940,2017/8/9 8:41,"[('20240906', 86), ('20240907', 48), ('20240908', 41), ('20240909', 0), ('20240909', 205), ('20240910', 73), ('20240911', 3683), ('20240912', 4181), ('20240913', 46072), ('20240914', 4029), ('20240915', 3555), ('20240916', 2106), ('20240917', 393), ('20240918', 1198), ('20240919', 475)]",389,整体上升趋势
1.70E+15,高能量的人,813,1072,17308501,16145,2021/4/25 3:02,"[('20240906', 59), ('20240907', 56), ('20240908', 63), ('20240909', 47), ('20240910', 57), ('20240911', 23), ('20240911', 0), ('20240912', 39), ('20240913', 23), ('20240914', 30), ('20240915', 22), ('20240915', 0), ('20240916', 36), ('20240917', 110), ('20240918', 415), ('20240919', 430)]",371,整体上升趋势
1.67E+15,不内耗,23954,4871,19112688,3923,2020/5/5 11:13,"[('20240906', 93), ('20240907', 63), ('20240908', 60), ('20240909', 84), ('20240910', 181), ('20240910', 0), ('20240911', 308), ('20240912', 419), ('20240913', 3070), ('20240914', 994), ('20240914', 0), ('20240915', 19442), ('20240916', 1920), ('20240916', 0), ('20240917', 530), ('20240918', 518), ('20240919', 446)]",353,整体上升趋势
1.66E+15,正向引导,5491,1548,33163417,21423,2020/3/22 4:25,"[('20240906', 117), ('20240907', 59), ('20240908', 0), ('20240908', 86), ('20240909', 71), ('20240910', 80), ('20240911', 0), ('20240911', 101), ('20240912', 122), ('20240913', 2046), ('20240914', 2368), ('20240915', 656), ('20240916', 495), ('20240917', 467), ('20240918', 365), ('20240919', 446)]",329,整体上升趋势
1.62E+15,迟老师,1460,786,29080198,36997,2018/11/20 13:18,"[('20240906', 203), ('20240907', 219), ('20240908', 261), ('20240909', 481), ('20240910', 308), ('20240911', 237), ('20240912', 189), ('20240913', 257), ('20240914', 345), ('20240915', 524), ('20240916', 464), ('20240917', 370), ('20240918', 389), ('20240919', 523)]",320,整体上升趋势
1.72E+15,心智水平,1451,16,326695,20418,2021/12/20 13:52,"[('20240906', 21), ('20240907', 29), ('20240908', 21), ('20240908', 0), ('20240909', 42), ('20240911', 22), ('20240912', 22), ('20240913', 21), ('20240914', 21), ('20240916', 21), ('20240917', 429), ('20240918', 905), ('20240919', 335)]",314,整体上升趋势
1.61E+15,财道,2669,2550,14723938,5774,2018/9/8 7:19,"[('20240906', 0), ('20240907', 0), ('20240908', 835), ('20240911', 906), ('20240913', 0), ('20240914', 0), ('20240915', 579), ('20240916', 0), ('20240919', 300)]",300,整体上升趋势
1.71E+15,内耗会毁掉你的一生,2829,30222,127284746,4211,2021/8/9 11:55,"[('20240906', 389), ('20240907', 665), ('20240908', 513), ('20240909', 487), ('20240910', 460), ('20240911', 402), ('20240912', 379), ('20240913', 503), ('20240914', 740), ('20240915', 472), ('20240916', 476), ('20240917', 793), ('20240918', 750), ('20240919', 667)]",278,整体上升趋势
1.57E+15,愛,586,33647,164796297,4897,2017/8/4 5:58,"[('20240906', 97), ('20240907', 81), ('20240908', 94), ('20240909', 159), ('20240910', 107), ('20240911', 0), ('20240911', 103), ('20240912', 215), ('20240913', 92), ('20240914', 152), ('20240915', 156), ('20240916', 86), ('20240917', 0), ('20240917', 91), ('20240918', 88), ('20240919', 370)]",273,整体上升趋势
1.65E+15,现实社会现实生活,650,5957,64390674,10809,2019/9/25 3:55,"[('20240906', 0), ('20240906', 34), ('20240907', 56), ('20240908', 265), ('20240909', 0), ('20240909', 163), ('20240910', 83), ('20240911', 85), ('20240912', 73), ('20240913', 116), ('20240914', 51), ('20240915', 289), ('20240916', 121), ('20240917', 79), ('20240918', 95), ('20240919', 262)]",262,整体上升趋势
7.39E+18,南非醉茄小熊,4301,11,3233013,293910,2024/7/14 12:15,"[('20240906', 834), ('20240906', 0), ('20240907', 679), ('20240908', 655), ('20240909', 6365), ('20240910', 3902), ('20240911', 3555), ('20240912', 436), ('20240913', 2681), ('20240914', 397), ('20240915', 248), ('20240916', 314), ('20240917', 248), ('20240918', 242), ('20240919', 1090)]",256,整体上升趋势
1.65E+15,人格健全,1661,175,787436,4499,2019/10/13 13:24,"[('20240906', 130), ('20240907', 79), ('20240908', 115), ('20240909', 80), ('20240910', 91), ('20240911', 51), ('20240912', 86), ('20240913', 26), ('20240914', 904), ('20240915', 0), ('20240915', 171), ('20240916', 240), ('20240917', 176), ('20240918', 210), ('20240918', 0), ('20240919', 366)]",236,整体上升趋势
1.72E+15,和鑫妍一起学心理学,2804,202,31797618,157413,2021/11/5 11:43,"[('20240906', 851), ('20240907', 981), ('20240908', 1157), ('20240909', 979), ('20240910', 1057), ('20240911', 900), ('20240912', 1112), ('20240913', 952), ('20240914', 734), ('20240915', 1021), ('20240916', 939), ('20240917', 926), ('20240918', 991), ('20240919', 1075)]",224,整体上升趋势
1.73E+15,如何解决情绪内耗,1492,5244,26944090,5138,2022/5/6 7:31,"[('20240906', 279), ('20240907', 196), ('20240908', 189), ('20240909', 235), ('20240910', 194), ('20240911', 133), ('20240912', 107), ('20240913', 485), ('20240914', 439), ('20240915', 239), ('20240916', 357), ('20240917', 201), ('20240918', 205), ('20240919', 496)]",217,整体上升趋势
1.76E+15,走出强迫焦虑心法,643,597,4529719,7587,2023/3/28 17:06,"[('20240906', 206), ('20240907', 201), ('20240908', 251), ('20240909', 189), ('20240910', 170), ('20240911', 271), ('20240912', 273), ('20240913', 207), ('20240914', 186), ('20240915', 256), ('20240916', 249), ('20240917', 278), ('20240918', 392), ('20240919', 412)]",206,整体上升趋势
1.60E+15,逆时针,0,3249,16869789,5192,2018/3/31 15:35,"[('20240906', 85), ('20240907', 95), ('20240908', 66), ('20240909', 64), ('20240910', 102), ('20240911', 127), ('20240912', 80), ('20240913', 42), ('20240914', 76), ('20240915', 77), ('20240916', 59), ('20240916', 0), ('20240917', 205), ('20240918', 286)]",201,整体上升趋势
1.74E+15,廖智的幸福力,6270,100,88923105,889231,2022/8/10 9:25,"[('20240906', 568), ('20240907', 543), ('20240908', 516), ('20240909', 480), ('20240910', 340), ('20240911', 2968), ('20240912', 4100), ('20240913', 2259), ('20240914', 1653), ('20240915', 1152), ('20240916', 1105), ('20240917', 1124), ('20240918', 862), ('20240919', 755)]",187,整体上升趋势
1.60E+15,人生方向,423,3936,49772228,12645,2018/5/5 14:17,"[('20240906', 0), ('20240906', 70), ('20240907', 70), ('20240908', 70), ('20240908', 0), ('20240909', 412), ('20240910', 311), ('20240911', 184), ('20240912', 206), ('20240913', 106), ('20240914', 130), ('20240915', 115), ('20240916', 175), ('20240917', 132), ('20240918', 216), ('20240919', 177)]",177,整体上升趋势
1.63E+15,如何克服自卑,274,2536,17570735,6928,2019/2/27 3:08,"[('20240906', 51), ('20240907', 51), ('20240908', 74), ('20240909', 48), ('20240910', 63), ('20240911', 57), ('20240912', 59), ('20240913', 51), ('20240914', 43), ('20240914', 0), ('20240915', 57), ('20240916', 79), ('20240917', 85), ('20240918', 48), ('20240919', 210)]",159,整体上升趋势
1.63E+15,美学设计师,362,2040,6786453,3326,2019/5/25 7:02,"[('20240906', 104), ('20240907', 0), ('20240907', 54), ('20240908', 48), ('20240909', 82), ('20240910', 56), ('20240911', 23), ('20240912', 102), ('20240913', 125), ('20240914', 43), ('20240915', 84), ('20240916', 65), ('20240917', 41), ('20240917', 0), ('20240918', 63), ('20240919', 256)]",152,整体上升趋势
1.70E+15,老凡智慧课堂,705,403,82255006,204106,2021/4/30 9:41,"[('20240906', 333), ('20240907', 804), ('20240908', 312), ('20240909', 482), ('20240910', 254), ('20240911', 292), ('20240912', 320), ('20240913', 300), ('20240914', 413), ('20240915', 278), ('20240916', 288), ('20240917', 327), ('20240918', 400), ('20240919', 461)]",128,整体上升趋势
1.66E+15,提高能量,3162,798,16064471,20130,2020/3/23 5:33,"[('20240906', 177), ('20240907', 148), ('20240908', 206), ('20240909', 236), ('20240910', 167), ('20240911', 313), ('20240912', 218), ('20240913', 843), ('20240914', 1054), ('20240915', 565), ('20240916', 437), ('20240917', 728), ('20240918', 422), ('20240919', 295)]",118,整体上升趋势
1.59E+15,李博良,938,2980,75071734,25191,2018/1/28 4:41,"[('20240906', 545), ('20240907', 706), ('20240908', 674), ('20240909', 785), ('20240910', 808), ('20240911', 626), ('20240912', 866), ('20240913', 745), ('20240914', 725), ('20240915', 663), ('20240916', 694), ('20240917', 712), ('20240918', 529), ('20240919', 660)]",115,整体上升趋势
1.78E+15,四种性格改变训练营,26139,264,15616662,59154,2023/10/29 10:08,"[('20240906', 6288), ('20240907', 6094), ('20240908', 6265), ('20240909', 6732), ('20240910', 5325), ('20240911', 5355), ('20240912', 3519), ('20240913', 3707), ('20240914', 4529), ('20240915', 4948), ('20240916', 5467), ('20240917', 5129), ('20240918', 6575), ('20240919', 6393)]",105,整体上升趋势
1.74E+15,认知转变,440,48,255151,5315,2022/6/18 10:32,"[('20240906', 129), ('20240907', 130), ('20240908', 101), ('20240909', 95), ('20240910', 57), ('20240911', 85), ('20240912', 64), ('20240913', 78), ('20240914', 49), ('20240915', 77), ('20240916', 61), ('20240917', 67), ('20240918', 189), ('20240919', 234)]",105,整体上升趋势
1.62E+15,见路不走,0,1148,2518450,2193,2019/1/15 13:19,"[('20240906', 21), ('20240907', 22), ('20240908', 0), ('20240908', 22), ('20240909', 22), ('20240909', 0), ('20240910', 22), ('20240911', 22), ('20240912', 21), ('20240913', 21), ('20240914', 397), ('20240914', 0), ('20240915', 428), ('20240916', 172), ('20240917', 0), ('20240917', 63), ('20240918', 126)]",105,整体上升趋势
1.58E+15,不想工作,1562,3121,21133777,6771,2017/10/8 15:22,"[('20240906', 29), ('20240907', 47), ('20240908', 0), ('20240908', 23), ('20240909', 21), ('20240910', 29), ('20240911', 21), ('20240912', 44), ('20240913', 22), ('20240914', 630), ('20240915', 421), ('20240916', 273), ('20240917', 273), ('20240918', 310), ('20240919', 126)]",97,整体上升趋势
1.67E+15,赵曼迦,890,851,28520371,33513,2020/5/1 10:51,"[('20240906', 424), ('20240907', 315), ('20240908', 358), ('20240909', 474), ('20240910', 192), ('20240911', 350), ('20240912', 269), ('20240913', 365), ('20240914', 145), ('20240915', 219), ('20240916', 425), ('20240917', 569), ('20240918', 296), ('20240919', 517)]",93,整体上升趋势
1.67E+15,学会翻篇,114,1111,4488118,4039,2020/5/18 12:07,"[('20240906', 22), ('20240908', 0), ('20240908', 28), ('20240910', 21), ('20240914', 21), ('20240919', 114)]",92,整体上升趋势
1.72E+15,大女主思维,442,2439,25403594,10415,2022/2/14 13:09,"[('20240906', 107), ('20240907', 119), ('20240908', 179), ('20240909', 185), ('20240910', 131), ('20240911', 138), ('20240912', 87), ('20240912', 0), ('20240913', 131), ('20240914', 143), ('20240915', 104), ('20240916', 0), ('20240916', 128), ('20240917', 106), ('20240918', 86), ('20240919', 198)]",91,整体上升趋势
