话题id,话题,热度值,发布视频量,播放量,稿均播放量,话题创建时间,话题时间热度键值对,差分值,趋势
1587590345563166,哲学,711809,688291,18970527181,27561,2017-12-23 15:48:58,"[('20240906', 103822), ('20240907', 133441), ('20240908', 125713), ('20240909', 115907), ('20240910', 98069), ('20240911', 124260), ('20240912', 157699), ('20240913', 97199), ('20240914', 170285), ('20240915', 159233), ('20240916', 125480), ('20240917', 170866), ('20240918', 126104), ('20240919', 122861)]",19039,整体上升趋势
1581116681713693,水瓶座,2381905,7343377,58929482361,8024,2017-10-13 04:52:51,"[('20240906', 362951), ('20240907', 394839), ('20240908', 335263), ('20240909', 311555), ('20240910', 297708), ('20240911', 303888), ('20240912', 262426), ('20240913', 242614), ('20240914', 223222), ('20240915', 492728), ('20240916', 415808), ('20240917', 538277), ('20240918', 461097), ('20240919', 709780)]",346829,整体上升趋势
1670898623574030,老人言,258353,1405032,29160892156,20754,2020-06-30 05:00:19,"[('20240906', 24007), ('20240907', 12371), ('20240912', 14506), ('20240913', 16260), ('20240915', 23650), ('20240917', 24762), ('20240919', 17055)]",-6952,整体下降趋势
1756452908204052,无限接近幸福的时候最幸福,198493,540,9064162,16785,2023-01-30 13:07:11,"[('20240907', 28), ('20240910', 21), ('20240917', 85598), ('20240918', 0), ('20240918', 87081), ('20240919', 53095)]",53067,整体上升趋势
1583853269046286,分开,195180,43946,547308302,12454,2017-11-12 09:49:44,"[('20240906', 407), ('20240907', 9657), ('20240908', 24851), ('20240909', 3054), ('20240910', 2340), ('20240911', 1548), ('20240912', 866), ('20240913', 1578), ('20240914', 8062), ('20240915', 1480), ('20240916', 611), ('20240917', 57336), ('20240918', 97015), ('20240919', 60829)]",60422,整体上升趋势
1591580833897476,女性独立,188132,583352,7029060805,12049,2018-02-05 16:56:04,"[('20240906', 78689), ('20240907', 66192), ('20240908', 56568), ('20240909', 43239), ('20240910', 51132), ('20240911', 34600), ('20240912', 29238), ('20240913', 39988), ('20240914', 42133), ('20240915', 34835), ('20240916', 29163), ('20240917', 30424), ('20240918', 39282), ('20240919', 49132)]",-29557,整体下降趋势
1645108276049933,你品你细细品,174295,4048927,25096503936,6198,2019-09-19 12:51:51,"[('20240906', 54592), ('20240907', 119439), ('20240908', 56948), ('20240909', 64200), ('20240910', 66897), ('20240911', 48032), ('20240912', 47321), ('20240913', 45656), ('20240914', 44787), ('20240915', 39699), ('20240916', 37321), ('20240917', 46262), ('20240918', 49720), ('20240919', 52002)]",-2590,整体下降趋势
1584071857580045,生命的意义,558116,197107,1867497994,9474,2017-11-14 19:44:06,"[('20240906', 7058), ('20240907', 5846), ('20240908', 8373), ('20240909', 7091), ('20240910', 8594), ('20240911', 6485), ('20240912', 4834), ('20240913', 4132), ('20240914', 4755), ('20240915', 4368), ('20240916', 105042), ('20240917', 68051), ('20240918', 267240), ('20240919', 204896)]",197838,整体上升趋势
1586409232389150,共鸣,1380059,1245634,17304738653,13892,2017-12-10 14:55:40,"[('20240906', 279158), ('20240907', 270307), ('20240908', 161073), ('20240909', 185030), ('20240910', 147121), ('20240911', 125390), ('20240912', 111848), ('20240913', 116437), ('20240914', 153485), ('20240915', 169665), ('20240916', 124982), ('20240917', 184196), ('20240918', 689598), ('20240919', 311997)]",32839,整体上升趋势
1644003921568781,分享欲,147436,162331,3359067371,20692,2019-09-07 08:18:36,"[('20240906', 46881), ('20240907', 27710), ('20240908', 39982), ('20240909', 26870), ('20240910', 29659), ('20240911', 23424), ('20240912', 19218), ('20240913', 48354), ('20240914', 23715), ('20240915', 14023), ('20240916', 19585), ('20240917', 32229), ('20240918', 26435), ('20240919', 23445)]",-23436,整体下降趋势
1620368293087236,触及真心,117728,1410384,11871968568,8417,2018-12-20 11:00:24,"[('20240906', 25470), ('20240907', 29520), ('20240908', 64036), ('20240909', 42555), ('20240910', 30165), ('20240911', 28119), ('20240912', 25177), ('20240913', 21464), ('20240914', 22847), ('20240915', 22366), ('20240916', 20068), ('20240917', 22009), ('20240918', 26564), ('20240919', 25091)]",-379,整体下降趋势
1582526321395726,现实社会,97477,1841049,13271570913,7208,2017-10-28 18:18:28,"[('20240906', 24020), ('20240907', 24767), ('20240908', 19975), ('20240909', 36708), ('20240910', 48369), ('20240911', 38261), ('20240912', 22790), ('20240913', 19714), ('20240914', 18514), ('20240915', 16820), ('20240916', 38075), ('20240917', 14939), ('20240918', 25464), ('20240919', 18620)]",-5400,整体下降趋势
1570540189430786,思考,86667,135246,3179801590,23511,2017-06-18 11:04:02,"[('20240906', 36939), ('20240907', 16579), ('20240908', 34383), ('20240909', 31752), ('20240910', 11482), ('20240911', 10187), ('20240912', 8103), ('20240913', 17649), ('20240914', 20916), ('20240915', 25469), ('20240916', 13436), ('20240917', 23690), ('20240918', 10279), ('20240919', 6691)]",-30248,整体下降趋势
1601349089032205,先爱自己再爱世界,85234,230568,434040606,1882,2018-05-24 12:38:18,"[('20240906', 2368), ('20240907', 956), ('20240908', 1165), ('20240909', 1023), ('20240910', 975), ('20240911', 1038), ('20240912', 1091), ('20240913', 979), ('20240914', 841), ('20240915', 778), ('20240916', 31608), ('20240917', 38360), ('20240918', 14733), ('20240919', 15528)]",13160,整体上升趋势
