博主,ID,URL,Awesome ID,标题,评论量,分享量,点赞量,收藏量,视频发布时间,采集时间,文案内容,话题分类,销售季节,产品名称,产品卖点,产品版型,产品功能,产品使用场景,用户痛点,一句话卖点,拍摄指导
蕉下官方旗舰店,1246,https://www.iesdouyin.com/share/video/7454234197939604736/?region=CN&mid=7454234356276169510&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=6CSONKi3OY3kAdMpW8ga0eRver2yduKJtrp3y9si7hY-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45423E+18,谁说冬天不好，这个奶呼呼气绒外套可太棒了👏#冬日如何穿出高级感#今天穿什么#今日穿搭look#蕉下官方旗舰店气,0,3,10,16,2024/12/31 8:00,2025/1/4 10:51,今天的OOTD，外面外套穿的是蕉下的这个短款气绒服，买到现在都还没有穿过。当时一眼就相中了这个暖呼呼的浅咖色，很有秋冬氛围感。它不会像纯白一样那么不耐脏，而且这种短款就是怎么穿怎么显腿长。像俄罗斯现在这个天气，我里面就穿了一件小毛衣，加上它其实已经够了。而且它是可以机洗的，我觉得会比羽绒服实穿性更强，去楼下买东西都会套它出门。,风格话题；日常话题；品牌/店铺/达人话题,秋冬,短款气绒服,秋冬氛围感颜色；显腿长；可机洗；实穿性强,短款设计：显腿长,保暖；耐脏；可机洗,日常；购买；轻便外出,需要一件耐脏又保暖且容易打理的外套,这个暖呼呼短款气绒服，颜色有秋冬氛围感，显腿长又实穿,"{""细节性词汇"":[""浅咖色——画面对应色彩展示"",""短款设计——画面对应版型展示"",""机洗说明——画面对应机洗展示""],""画面性词汇"":[""暖呼呼——画面对应穿搭温暖感"",""耐脏对比——画面对应对比浅色与浅咖色的耐脏性"",""显腿长——画面对应穿着者露出腿部比例""],""特效性词汇"":[""无""],""强调性词汇"":[""浅咖色氛围感——字体包装/音效包装"",""实穿性强——字体包装/音效包装"",""显腿长——字体包装/音效包装""]}"
蕉下官方旗舰店,1245,https://www.iesdouyin.com/share/video/7454233316154199331/?region=CN&mid=7454233301872659239&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=5dRrxzXdzCZuI6GepE6Jm.w2UWBqhutBHe8xFk5.yIE-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45423E+18,新年就该入手蕉下官方旗舰店气绒服，轻盈保暖倍有面#保暖又好看#冬日如何穿出高级感#过年穿什么#蕉下官方旗舰店气绒服,0,5,2,21,2024/12/30 23:53,2025/1/4 10:51,新年跟着蜜姐入手一套交夏飞行夹克版型甜美穿起来别有风味内里填充气绒可漏加三点零嘎嘎保暖穿到零下五度防潮抗湿冷南方一件轻松过冬交夏大品牌小细节真的很放心太喜欢了,好物话题；功能话题；场景话题；品牌/店铺/达人话题,冬季,蕉下气绒服,轻盈保暖，填充气绒，防潮抗湿冷，适合零下五度,飞行夹克版型，甜美风格,保暖、防潮抗湿、轻盈,冬日穿搭，适合南方过冬,需要一件既保暖又时尚的冬季服装，能够应对南方湿冷的天气,轻盈保暖倍有面的蕉下气绒服，冬日穿出高级感,"{""细节性词汇"":[""气绒填充——画面对应绒料细节展示"",""飞行夹克版型——画面对应版型设计展示"",""大品牌小细节——画面对应品牌细节展示""],""画面性词汇"":[""保暖——画面对应寒冷环境下的温暖展示"",""抗湿冷——画面对应潮湿环境下的舒适展示"",""甜美风味——画面对应穿着的风格展示""],""特效性词汇"":[""防潮防湿冷——特效包装"",""轻松过冬——特效包装"",""嘎嘎保暖——特效包装""],""强调性词汇"":[""大品牌——字体包装/音效包装"",""保暖——字体包装/音效包装"",""高级感——字体包装/音效包装""]}"
蕉下官方旗舰店,1244,https://www.iesdouyin.com/share/video/7454184212065717538/?region=CN&mid=7454184214737832745&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=OQRaDn6Cn8Wlf1GwONjSrHV.WyqJSmxYJq4BrWJREhg-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45418E+18,包暖和的，一件外套让你轻盈舒适过冬#冬日如何穿出高级感#过年穿什么#保暖又好看#蕉下官方旗舰店气绒服,0,6,7,8,2024/12/30 20:42,2025/1/4 10:51,这个是我买的一件外套，哇塞，真的贼轻，这个蓝灰色我觉得很特别，这个版型是那种很显瘦的，而且这个长度也刚好，短短的就是很显高，下面搭一条工装裤就是酷酷的感觉，或者随便抓一条牛仔裤来搭也挺修。现在好像都已经降大温了，这件里面填充的细绒应该蛮能扛得住的，而且袖口和腰部都有收紧，冬天就不会灌风，领口也有加高立领，可以把脸藏进去，超暖和的。,功能话题；品牌/店铺/达人话题；场景话题,冬季,蕉下气绒服,轻盈、特别的蓝灰色、显瘦设计、保暖性极佳、风防护设计,显瘦设计、短款设计、加高立领、袖口和腰部收紧,保暖、防风,日常、冬季户外,冬季需要保暖效果好的外套，同时希望外套轻盈且显瘦,包暖和的轻盈气绒服，让你这个冬季保暖又显瘦,"{""一、细节性词汇"":[""加高立领——画面对应立领特写镜头"",""袖口和腰部收紧——画面对应腰部/袖口细节展示"",""蓝灰色——画面对应布料质感及颜色展示""],""二、画面性词汇"":[""短款显高——画面对应模特穿搭展示"",""工装裤搭配——画面对应休闲服饰整体搭配"",""脸藏进衣领——画面对应模特将脸藏在立领中""],""三、特效性词汇"":[""扛得住大温——特效包装耐寒效果"",""超暖和——特效包装"",""显瘦设计——特效包装展示弹性""],""四、强调性词汇"":[""贼轻——字体包装"",""显瘦——字体包装"",""瓜分风——字体包装""]}"
蕉下官方旗舰店,1243,https://www.iesdouyin.com/share/video/7454067411126439208/?region=CN&mid=7454067833102797578&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=PZ1OiMfBS7FuktzH76.nA68ggiCEwK52inWPKR46uyU-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45407E+18,去掉外套也好看的打底衫，新年真的值得拥有#冬日如何穿出高级感#拿捏精致感ootd#保暖又好看#蕉下官方旗舰店打,0,3,6,5,2024/12/30 13:10,2025/1/4 10:51,去掉外套也好看的打底衫教下你小子今年上大分难怪蜜姐都爱穿你家头一回见把摇粒绒做的这么细腻软乎不光有远红外升温科技还是双面的拉毛工艺上身就跟小火炉一样温暖四向弹力肉肉姐妹也放心穿不起球还不起静电就这打底衣明年拿出来还跟新的一样脚下大品牌就是有这实力怎么穿都显瘦百搭过年走亲戚外套一脱照样有面,风格话题；好物话题；品牌/店铺/达人话题,冬季,蕉下打底衫,细腻软乎的摇粒绒、远红外升温科技、双面拉毛工艺、四向弹力、不起球、不起静电、显瘦百搭,修身百搭,保暖、显瘦,日常、过年走亲戚,想要一件显瘦又保暖、不起球、不起静电的打底衫,去掉外套也好看的保暖显瘦打底衫,"{""一、细节性词汇"":[""摇粒绒细腻软乎——画面对应细节展示"",""双面拉毛工艺——画面对应细节展示"",""四向弹力——画面对应弹性展示""],""二、画面性词汇"":[""远红外升温科技——画面对应温暖感展示"",""修身百搭——画面对应试穿效果"",""冬日出街——画面对应室外场景展示""],""三、特效性词汇"":[""不起球——特效包装"",""不起静电——特效包装"",""温暖如小火炉——特效包装""],""四、强调性词汇"":[""大品牌——字体包装/音效包装"",""精致感——字体包装/音效包装"",""显瘦——字体包装/音效包装""]}"
蕉下官方旗舰店,1242,https://www.iesdouyin.com/share/video/7453034651658030388/?region=CN&mid=7453035316184255243&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=ArrB8Plsn9tKJlEY6.W90.dQszg_hG2WHcl9AKicPL4-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,去山上风真的大，还好有这件#蕉下官方旗舰店夹克气绒服#冬日如何穿出高级感#自由感拉满的户外穿搭#户外穿搭,0,1,11,7,2024/12/29 16:25,2025/1/4 10:51,我要去爬山了，出发前看了天气预报，外面会下小雨，山里会更冷，所以带了一件细绒夹克。它是飞行员夹克的版型，很好搭配，填充的细绒比普通羽绒更保暖、抗冻、抗湿冷，而且很显比例。就算下雨也不怕它越穿越冷，因为它上身之后升温很快。我穿了一个瑜伽服背心在里面，冷了就穿上，热了就脱掉，折起来很小，塞到包里也不占位置。出去玩就要穿这种轻便又实用的，所以现在差不多就可以出发了。,场景话题；好物话题；个性话题,冬季,细绒夹克,比普通羽绒更保暖、抗冻、抗湿冷，显比例，上身升温快，轻便易收纳,飞行员夹克的版型,保暖、抗冻、抗湿冷、速热,户外、爬山,担心外套在寒冷潮湿环境中不够保暖，笨重,更保暖抗冻的细绒夹克，轻便又易收纳。,"{""细节性词汇"":[""细绒填充——画面对应细节展示"",""飞行员夹克版型——画面对应细节展示"",""速热功能——画面对应功能展示""],""画面性词汇"":[""轻便易收纳——画面对应将夹克折叠放入背包"",""抗湿冷——画面对应淋雨后依然保暖"",""瑜伽服背心内搭——画面对应展示搭配效果""],""特效性词汇"":[""抗冻抗湿冷——特效包装"",""上身快热——特效包装"",""显比例——特效包装""],""强调性词汇"":[""保暖——字体包装/音效包装"",""轻便实用——字体包装/音效包装"",""高级感——字体包装/音效包装""]}"
蕉下官方旗舰店,1241,https://www.iesdouyin.com/share/video/7453033788289879331/?region=CN&mid=7453034233653775131&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=OahfzMrlacKLLkqbjWZdkk.cO8814Q7oiz_Ynj2PQLU-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,我的天，过年穿这件回家正正好，轻盈显瘦倍有面#保暖又好看#时尚不挑人#保暖搭子#过年穿搭#蕉下官方旗舰店气绒服,0,6,9,8,2024/12/29 11:20,2025/1/4 10:51,你们也赶紧去抢这个丽姐的同款细绒夹克，趁着双十二收到货后，这个品质啊真的是让我惊呆了。这上面全部都是做了弧度型横缝工艺，不管你怎么洗啊，都不会跑绒打脱。整个就是飞行员夹克的版型，特别干练和贵气，尤其是这里面，最美的八百童羽绒的鸡绒材质，一上身就暖了。最近我们这已经是超级冷了，像这种细绒服，平时你不管是在家穿还是出来玩，都是又暖和又好看的。而且它还是防潮防湿冷的，关键是现在这个价格太划算了。你们刷到赶紧去拍两件，大牌打折，捡漏随时都会停，买到就是赚到了。,好物话题；场景话题；品牌/店铺/达人话题,冬季,丽姐的同款细绒夹克,弧度型横缝工艺，不跑绒打脱，飞行员夹克版型，八百童羽绒的鸡绒材质，防潮防湿冷,飞行员夹克版型，干练贵气,保暖/防潮/防湿冷,在家/外出/日常休闲,需要一件既显瘦又保暖的夹克,弧度型横缝设计，不跑绒的干练飞行员夹克,"{""细节性词汇"":[""弧度型横缝工艺——画面对应细节展示""],""画面性词汇"":[""不管你怎么洗啊，都不起皱——画面对应从洗衣机拿出衣服，展示细节"",""出来玩——画面对应户外镜头展示""],""特效性词汇"":[""防潮防湿冷——特效包装""],""强调性词汇"":[""大牌——字体包装/音效包装"",""八百蓬羽绒材质——字体包装/音效包装"",""赚到了——字体包装/音效包装""]}"
蕉下官方旗舰店,1240,https://www.iesdouyin.com/share/video/7453031913951956276/?region=CN&mid=6606045255420610565&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=kbU2wL5M1dq.u1drCd8P223_XBhQmeQ1okg1LAxHn6o-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,好喜欢！好软糯！冷天有这件外套真的太香了~#今日穿搭look#时髦精#元气少女#蕉下官方旗舰店万粒绒外套,0,5,3,3,2024/12/29 8:15,2025/1/4 10:51,好喜欢！好软糯！冷天有这件外套真的太香了~#今日穿搭look #时髦精 #元气少女 #蕉下万粒绒外套 还没有找到心仪外套的姐妹们，今年入蕉下不会错。主播还入手了一件宽松加长款，平常可以换着搭配，正面掐两条人鱼线，视觉上会更加显瘦。玩下装消失的旋风也是拿捏正好，发现有很多女明星平常出街都是这么穿的。上身就是一整个轻盈蓬松，骑车、露营都是防风保暖，没在怕的，一件轻松穿三季。,日常话题；风格话题；品牌/店铺/达人话题,适合春、秋、冬三季,蕉下万粒绒外套,视觉显瘦、轻盈蓬松、防风保暖、一衣多搭,宽松加长款设计，正面掐两条人鱼线,保暖、骑行、露营、中性搭配,日常穿搭、骑车、户外露营,寻找一件显瘦又保暖，并且能在多种场合穿着的外套,轻盈蓬松的显瘦外套，三季皆宜应对寒冷,"{""细节性词汇"":""无"",""画面性词汇"":""轻盈蓬松——画面对应展示服装穿着效果 露营——画面对应户外活动场景 骑车——画面对应骑车场景"",""特效性词汇"":""无"",""强调性词汇"":""显瘦——字体包装/音效包装 防风保暖——字体包装/音效包装 蓬松——字体包装/音效包装""}"
蕉下官方旗舰店,1239,https://www.iesdouyin.com/share/video/7453031452880407823/?region=CN&mid=7453031942154537779&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=tHr1M41uSOdvoXQu_nrsbB7OA4xk0lMRCMJTcqUR.Ks-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,说真的，这件真的是设计到我心坎里去了！保暖又显瘦#显瘦穿搭#穿出高级感#今天穿什么#冬季外套也能穿出,2,9,8,2,2024/12/28 20:10,2025/1/4 10:51,怕冷不想穿的臃肿还想要保暖的一定要试试这件天花板摇粒绒去年啊单这件就要卖到三百块钱它这个是双面磨毛的非常有质感它不是靠厚度来保暖而是靠密度。你看这个容力做到这么细完全不会扎人也不起静电前面两个斜插式的加绒大口袋轻松放手机钥匙化妆品，口袋里面啊都给你做了这种加绒的现在赶上天冷了外面随便套个外套防风锁热的可舒服了进门了一脱就这小外套能穿到明年开春谁见都得夸。,个性话题；功能话题；日常话题,冬季,蕉下万粒绒外套,1. 双面磨毛质感 2. 不靠厚度而靠密度保暖 3. 防风锁热 4. 不扎人 5. 不起静电,休闲百搭风,保暖/防风,日常/休闲,怕冷又不想穿得臃肿，还想要保暖,设计到心坎的保暖显瘦天花板摇粒绒外套。,"{""细节性词汇"":[""双面磨毛——画面对应材质的细节展示"",""斜插式加绒大口袋——画面对应口袋的细节展示"",""不扎人——画面对应细腻的表面处理""],""画面性词汇"":[""防风锁热——画面对应在大风中穿着被保护的镜头"",""不靠厚度而靠密度保暖——展示轻薄的外观但具有保暖性"",""随便套个外套——展示在室内外不同场景的使用""],""特效性词汇"":[""防潮防湿冷——特效包装"",""无"",""无""],""强调性词汇"":[""大牌——字体包装/音效包装"",""非常快——字体包装/音效包装"",""优雅气质——字体包装/音效包装""]}"
蕉下官方旗舰店,1238,https://www.iesdouyin.com/share/video/7453029718879718708/?region=CN&mid=7453029807862123314&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=FEiCWIRaHy2LAYiF2g0alczjqhG7OyE8zJksq_qWREw-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,天气真冷了，既能当外套又能做内胆，带回家不亏#保暖又好看的冬日穿搭合集#时髦精#小众设计感#蕉下官方旗舰店万粒,1,6,8,3,2024/12/28 17:05,2025/1/4 10:51,已经降温了，真的很需要加厚又不显臃肿的摇粒绒，这件价格超级香，整件利落版型，一边也不想臃肿，上身自带纸片人效果，双面磨毛的诺基基面料，内里全做加绒，材质不起静电，不掉毛。冬天怕冷的姐妹一定要带一件回去，一件穿三季，可香了。,功能话题；风格话题；品牌/店铺/达人话题,冬季,蕉下万粒绒外套,利落版型，不显臃肿；双面磨毛诺基基面料，内里加绒；材质不起静电，不掉毛；一件穿三季。,利落版型设计，塑造纸片人效果,保暖、不起静电、持久耐穿,日常、可作为外套或内胆,怕冷又怕显臃肿的冬日穿搭困扰,一件穿三季的利落版型万粒绒外套，保暖又不显臃肿。,"{""细节性词汇"":[""双面磨毛工艺——画面对应细节展示"",""不起静电——画面对应衣服特写"",""加绒内里——画面对应材料展示""],""画面性词汇"":[""纸片人效果——画面对应模特穿着展示"",""外套、内胆两用——画面对应服装搭配展示"",""冬季换季——画面对应四季变化特效""],""特效性词汇"":[""保暖不臃肿——特效包装"",""不起静电——特效包装"",""不掉毛——特效包装""],""强调性词汇"":[""超级香——字体包装/音效包装"",""一件穿三季——字体包装/音效包装"",""加厚不显臃肿——字体包装/音效包装""]}"
蕉下官方旗舰店,1237,https://www.iesdouyin.com/share/video/7453028210712907048/?region=CN&mid=7453028793830542092&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=MMtN.5iC.yZcPU7uDQgnaEcCd_ICJldm7zdhVeHqBWw-&share_version=0&ts=1735959062&from_aid=6383&from_ssr=1,7.45303E+18,就这外套不用多说，今年本命外套！#过年穿什么#冬季新款#显瘦穿搭#蕉下官方旗舰店万粒绒外套,0,4,3,1,2024/12/28 14:00,2025/1/4 10:51,为了听到你的一句好穿，我们有多努力。你们说要面料好，我们升级做了200D细腻高密短绒，柔软又耐洗。你们说要大口袋，我们专门做了两个加绒大口袋，方便放手机、零钱、钥匙。你们说怕肚子大不能穿，微微宽松，腰身有余量，最大能穿到160斤。你们说天冷不想手洗，所以我们升级双面磨毛工艺，机洗手洗不变形，上身保暖有档次。,场景话题；好物话题；个性话题；品牌/店铺/达人话题,冬季,蕉下万粒绒外套,200D细腻高密短绒面料，柔软耐洗；加绒大口袋设计；微微宽松可容身至160斤；双面磨毛工艺，机洗手洗不变形,微微宽松,保暖/耐洗,日常/休闲,需要一件舒适耐用、显瘦的冬季外套，方便洗涤并提供足够的收纳空间,柔软耐用且显瘦的大口袋冬季外套,"{""细节性词汇"":[""加绒大口袋——画面对应细节展示"",""200D细腻高密短绒——画面对应面料细节"",""微微宽松版型——画面对应腰身展示""],""画面性词汇"":[""机洗手洗不变形——画面对应洗涤场景"",""上身保暖有档次——画面对应外套上身效果"",""大口袋设计——画面对应放入手机、钥匙等场景""],""特效性词汇"":[""柔软耐洗——特效包装"",""保暖有档次——特效包装"",""200D高密短绒——特效包装""],""强调性词汇"":[""加绒大口袋——字体包装/音效包装"",""微微宽松——字体包装/音效包装"",""160斤——字体包装/音效包装""]}"
